"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.NL.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.NL.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Netherlands / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:34,
2009-09,9469,
2009-10,9476,
2009-11,9981,
2009-12,10120,
2010-01,10083,
2010-02,10107,
2010-03,9853,
2010-04,10469,
2010-05,11017,
2010-06,11638,
2010-07,11334,
2010-08,11389,
2010-09,10808,
2010-10,10414,
2010-11,10198,
2010-12,10189,
2011-01,9461,
2011-02,9245,
2011-03,9092,
2011-04,9202,
2011-05,9218,
2011-06,9582,
2011-07,9692,
2011-08,10419,
2011-09,10912,
2011-10,10761,
2011-11,10442,
2011-12,10592,
2012-01,9141,
2012-02,9233,
2012-03,8715,
2012-04,9102,
2012-05,9546,
2012-06,9838,
2012-07,10584,
2012-08,10567,
2012-09,10776,
2012-10,10351,
2012-11,10586,
2012-12,10756,
2013-01,9895,
2013-02,9785,
2013-03,10169,
2013-04,10388,
2013-05,10480,
2013-06,10671,
2013-07,10969,
2013-08,10156,
2013-09,9811,
2013-10,9633,
2013-11,9412,
2013-12,9134,
2014-01,9312,
2014-02,9409,
2014-03,9645,
2014-04,9690,
2014-05,10046,
2014-06,9925,
2014-07,9967,
2014-08,10462,
2014-09,10402,
2014-10,10493,
2014-11,10935,
