"",BBK01.OEAK04I,BBK01.OEAK04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:24,
2002-01,1.379,
2002-04,1.278,
2002-07,1.205,
2002-10,1.140,
2003-01,1.081,
2003-04,0.973,
2003-07,0.894,
2003-10,0.841,
2004-01,0.803,
2004-04,0.739,
2004-07,0.701,
2004-10,0.756,
2005-01,0.721,
2005-04,0.727,
2005-07,0.706,
2005-10,0.876,
2006-01,0.901,
2006-04,0.920,
2006-07,1.006,
2006-10,1.271,
2007-01,1.267,
2007-04,1.455,
2007-07,1.558,
2007-10,1.718,
2008-01,1.757,
2008-04,1.763,
2008-07,1.887,
2008-10,1.718,
2009-01,1.014,
2009-04,0.760,
2009-07,0.588,
2009-10,0.464,
2010-01,0.404,
2010-04,0.351,
2010-07,0.296,
2010-10,0.436,
2011-01,0.460,
2011-04,0.503,
2011-07,0.512,
2011-10,0.472,
2012-01,0.536,
2012-04,0.473,
2012-07,0.437,
2012-10,0.330,
2013-01,0.299,
2013-04,0.269,
2013-07,0.248,
2013-10,0.245,
2014-01,0.234,
2014-04,0.240,
2014-07,0.243,
