"",BBK01.OEHJ03T,BBK01.OEHJ03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:29,
2002-01,0.320,
2002-04,0.317,
2002-07,0.316,
2002-10,0.346,
2003-01,0.309,
2003-04,0.285,
2003-07,0.282,
2003-10,0.321,
2004-01,0.319,
2004-04,0.306,
2004-07,0.304,
2004-10,0.310,
2005-01,0.303,
2005-04,0.300,
2005-07,0.307,
2005-10,0.308,
2006-01,0.313,
2006-04,0.303,
2006-07,0.314,
2006-10,0.307,
2007-01,0.308,
2007-04,0.268,
2007-07,0.284,
2007-10,0.293,
2008-01,0.294,
2008-04,0.304,
2008-07,0.349,
2008-10,0.422,
2009-01,0.354,
2009-04,0.306,
2009-07,0.261,
2009-10,0.234,
2010-01,0.220,
2010-04,0.236,
2010-07,0.199,
2010-10,0.215,
2011-01,0.226,
2011-04,0.209,
2011-07,0.250,
2011-10,0.187,
2012-01,0.165,
2012-04,0.171,
2012-07,0.164,
2012-10,0.158,
2013-01,0.126,
2013-04,0.138,
2013-07,0.136,
2013-10,0.140,
2014-01,0.152,
2014-04,0.139,
2014-07,0.122,
