"",BBK01.OEAC18Q,BBK01.OEAC18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:35,
2002-01,0.227,
2002-04,0.235,
2002-07,0.302,
2002-10,0.415,
2003-01,0.458,
2003-04,0.465,
2003-07,0.447,
2003-10,0.552,
2004-01,0.503,
2004-04,0.242,
2004-07,0.195,
2004-10,0.156,
2005-01,0.190,
2005-04,0.150,
2005-07,0.147,
2005-10,0.109,
2006-01,0.109,
2006-04,0.073,
2006-07,0.073,
2006-10,0.117,
2007-01,0.192,
2007-04,0.109,
2007-07,0.147,
2007-10,0.231,
2008-01,0.101,
2008-04,0.100,
2008-07,0.115,
2008-10,0.163,
2009-01,0.211,
2009-04,0.195,
2009-07,0.196,
2009-10,0.261,
2010-01,0.249,
2010-04,0.280,
2010-07,0.257,
2010-10,0.266,
2011-01,0.186,
2011-04,0.176,
2011-07,0.192,
2011-10,0.197,
2012-01,0.195,
2012-04,0.178,
2012-07,0.188,
2012-10,0.208,
2013-01,0.291,
2013-04,0.209,
2013-07,0.228,
2013-10,0.262,
2014-01,0.297,
2014-04,0.274,
2014-07,0.242,
