"",BBK01.OEAE31M,BBK01.OEAE31M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:31,
2002-01,10.437,
2002-04,10.410,
2002-07,10.451,
2002-10,10.756,
2003-01,10.940,
2003-04,10.935,
2003-07,11.095,
2003-10,11.327,
2004-01,11.325,
2004-04,11.411,
2004-07,12.013,
2004-10,11.510,
2005-01,11.374,
2005-04,11.100,
2005-07,11.105,
2005-10,11.494,
2006-01,11.239,
2006-04,10.911,
2006-07,10.828,
2006-10,10.723,
2007-01,10.477,
2007-04,10.516,
2007-07,10.515,
2007-10,10.416,
2008-01,10.375,
2008-04,10.441,
2008-07,10.535,
2008-10,10.478,
2009-01,9.005,
2009-04,9.351,
2009-07,9.380,
2009-10,10.409,
2010-01,9.689,
2010-04,10.217,
2010-07,10.188,
2010-10,10.191,
2011-01,9.972,
2011-04,10.089,
2011-07,10.091,
2011-10,10.103,
2012-01,10.185,
2012-04,10.334,
2012-07,10.350,
2012-10,10.337,
2013-01,10.749,
2013-04,10.811,
2013-07,10.898,
2013-10,11.015,
2014-01,11.161,
2014-04,11.424,
2014-07,11.681,
