"",BBFN1.M.DE.N.1.A.CY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Cyprus,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:20,
1994-12,0.116,
1995-01,0.162,
1995-02,0.223,
1995-03,0.211,
1995-04,0.218,
1995-05,0.210,
1995-06,0.189,
1995-07,0.202,
1995-08,0.208,
1995-09,0.209,
1995-10,0.193,
1995-11,0.199,
1995-12,0.217,
1996-01,0.198,
1996-02,0.198,
1996-03,0.219,
1996-04,0.231,
1996-05,0.229,
1996-06,0.216,
1996-07,0.203,
1996-08,0.207,
1996-09,0.204,
1996-10,0.231,
1996-11,0.222,
1996-12,0.138,
1997-01,0.219,
1997-02,0.268,
1997-03,0.258,
1997-04,0.258,
1997-05,0.276,
1997-06,0.261,
1997-07,0.284,
1997-08,0.282,
1997-09,0.275,
1997-10,0.289,
1997-11,0.274,
1997-12,0.156,
1998-01,0.240,
1998-02,0.279,
1998-03,0.295,
1998-04,0.306,
1998-05,0.314,
1998-06,0.305,
1998-07,0.318,
1998-08,0.319,
1998-09,0.324,
1998-10,0.324,
1998-11,0.326,
1998-12,0.198,
1999-01,0.242,
1999-02,0.289,
1999-03,0.325,
1999-04,0.345,
1999-05,0.358,
1999-06,0.357,
1999-07,0.339,
1999-08,0.331,
1999-09,0.323,
1999-10,0.326,
1999-11,0.345,
1999-12,0.227,
2000-01,0.280,
2000-02,0.336,
2000-03,0.373,
2000-04,0.379,
2000-05,0.380,
2000-06,0.382,
2000-07,0.360,
2000-08,0.409,
2000-09,0.442,
2000-10,0.454,
2000-11,0.474,
2000-12,0.309,
2001-01,0.352,
2001-02,0.402,
2001-03,0.424,
2001-04,0.442,
2001-05,0.446,
2001-06,0.433,
2001-07,0.428,
2001-08,0.456,
2001-09,0.479,
2001-10,0.507,
2001-11,0.494,
2001-12,0.310,
2002-01,0.402,
2002-02,0.428,
2002-03,0.455,
2002-04,0.502,
2002-05,0.501,
2002-06,0.462,
2002-07,0.473,
2002-08,0.532,
2002-09,0.552,
2002-10,0.582,
2002-11,0.560,
2002-12,0.363,
2003-01,0.421,
2003-02,0.503,
2003-03,0.524,
2003-04,0.539,
2003-05,0.538,
2003-06,0.534,
2003-07,0.530,
2003-08,0.561,
2003-09,0.575,
2003-10,0.559,
2003-11,0.639,
2003-12,0.394,
2004-01,0.479,
2004-02,0.592,
2004-03,0.609,
2004-04,0.658,
2004-05,0.664,
2004-06,0.650,
2004-07,0.659,
2004-08,0.690,
2004-09,0.688,
2004-10,0.703,
2004-11,0.709,
2004-12,0.442,
2005-01,0.550,
2005-02,0.674,
2005-03,0.715,
2005-04,0.764,
2005-05,0.772,
2005-06,0.771,
2005-07,0.772,
2005-08,0.821,
2005-09,0.837,
2005-10,0.877,
2005-11,0.825,
2005-12,0.539,
2006-01,0.649,
2006-02,0.749,
2006-03,0.781,
2006-04,0.780,
2006-05,0.763,
2006-06,0.758,
2006-07,0.787,
2006-08,0.887,
2006-09,0.825,
2006-10,0.920,
2006-11,0.846,
2006-12,0.548,
2007-01,0.688,
2007-02,0.751,
2007-03,0.764,
2007-04,0.859,
2007-05,0.824,
2007-06,0.844,
2007-07,0.868,
2007-08,0.908,
2007-09,0.832,
2007-10,0.925,
2007-11,0.914,
2007-12,0.618,
2008-01,0.771,
2008-02,0.864,
2008-03,0.883,
2008-04,0.883,
2008-05,0.892,
2008-06,0.883,
2008-07,0.975,
2008-08,0.938,
2008-09,1.025,
2008-10,0.892,
2008-11,0.867,
2008-12,0.596,
2009-01,0.707,
2009-02,0.738,
2009-03,0.786,
2009-04,0.791,
2009-05,0.785,
2009-06,0.767,
2009-07,0.748,
2009-08,0.752,
2009-09,0.752,
2009-10,0.791,
2009-11,0.714,
2009-12,0.516,
2010-01,0.569,
2010-02,0.685,
2010-03,0.761,
2010-04,0.791,
2010-05,0.791,
2010-06,0.789,
2010-07,0.772,
2010-08,0.783,
2010-09,0.757,
2010-10,0.783,
2010-11,0.778,
2010-12,0.540,
2011-01,0.611,
2011-02,0.668,
2011-03,0.642,
2011-04,0.515,
2011-05,0.557,
2011-06,0.534,
2011-07,0.553,
2011-08,0.586,
2011-09,0.541,
2011-10,0.591,
2011-11,0.553,
2011-12,0.454,
2012-01,0.565,
2012-02,0.621,
2012-03,0.668,
2012-04,0.685,
2012-05,0.648,
2012-06,0.647,
2012-07,0.677,
2012-08,0.726,
2012-09,0.682,
2012-10,0.692,
2012-11,0.685,
2012-12,0.477,
2013-01,0.638,
2013-02,0.738,
2013-03,0.773,
2013-04,0.802,
2013-05,0.790,
2013-06,0.748,
2013-07,0.661,
2013-08,0.775,
2013-09,0.793,
2013-10,0.807,
2013-11,0.860,
2013-12,0.560,
2014-01,0.663,
2014-02,0.765,
2014-03,0.785,
2014-04,0.828,
2014-05,0.838,
2014-06,0.820,
2014-07,0.799,
2014-08,0.834,
2014-09,0.834,
2014-10,0.843,
2014-11,0.862,
2014-12,0.581,
