"",BBK01.OEAJ05Q,BBK01.OEAJ05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:27,
2002-01,11.274,
2002-04,11.392,
2002-07,10.232,
2002-10,10.675,
2003-01,11.562,
2003-04,11.596,
2003-07,12.194,
2003-10,11.964,
2004-01,12.522,
2004-04,12.257,
2004-07,12.671,
2004-10,20.721,
2005-01,21.053,
2005-04,21.124,
2005-07,21.117,
2005-10,21.040,
2006-01,20.953,
2006-04,20.753,
2006-07,13.790,
2006-10,16.226,
2007-01,16.518,
2007-04,17.181,
2007-07,17.260,
2007-10,17.815,
2008-01,17.837,
2008-04,18.141,
2008-07,17.890,
2008-10,17.643,
2009-01,19.567,
2009-04,19.949,
2009-07,20.629,
2009-10,20.473,
2010-01,20.090,
2010-04,19.832,
2010-07,19.233,
2010-10,18.661,
2011-01,18.362,
2011-04,17.998,
2011-07,23.713,
2011-10,23.086,
2012-01,22.294,
2012-04,21.495,
2012-07,21.073,
2012-10,20.441,
2013-01,20.025,
2013-04,19.579,
2013-07,18.719,
2013-10,18.313,
2014-01,17.905,
2014-04,17.580,
2014-07,17.217,
