"",BBK01.OEAN06G,BBK01.OEAN06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:47,
2002-01,18.247,
2002-04,17.765,
2002-07,17.396,
2002-10,16.783,
2003-01,16.019,
2003-04,14.836,
2003-07,14.014,
2003-10,14.177,
2004-01,14.404,
2004-04,13.882,
2004-07,14.208,
2004-10,15.154,
2005-01,15.900,
2005-04,15.917,
2005-07,15.369,
2005-10,15.244,
2006-01,15.382,
2006-04,15.686,
2006-07,16.289,
2006-10,18.430,
2007-01,19.447,
2007-04,19.284,
2007-07,18.809,
2007-10,18.951,
2008-01,17.845,
2008-04,16.954,
2008-07,16.535,
2008-10,18.489,
2009-01,18.795,
2009-04,18.723,
2009-07,19.441,
2009-10,21.702,
2010-01,22.199,
2010-04,21.297,
2010-07,20.216,
2010-10,20.725,
2011-01,20.531,
2011-04,19.853,
2011-07,19.544,
2011-10,19.337,
2012-01,19.058,
2012-04,18.703,
2012-07,17.917,
2012-10,17.729,
2013-01,17.099,
2013-04,16.593,
2013-07,16.508,
2013-10,16.690,
2014-01,16.634,
2014-04,15.573,
2014-07,15.415,
