"",BBK01.OEHB13L,BBK01.OEHB13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:48,
2002-01,10.477,
2002-04,10.546,
2002-07,10.349,
2002-10,10.239,
2003-01,10.520,
2003-04,10.367,
2003-07,10.298,
2003-10,10.167,
2004-01,9.874,
2004-04,9.461,
2004-07,9.961,
2004-10,10.095,
2005-01,10.007,
2005-04,10.013,
2005-07,10.025,
2005-10,10.072,
2006-01,10.075,
2006-04,10.070,
2006-07,10.065,
2006-10,9.999,
2007-01,9.869,
2007-04,9.869,
2007-07,9.804,
2007-10,9.863,
2008-01,9.849,
2008-04,9.890,
2008-07,9.915,
2008-10,9.913,
2009-01,9.772,
2009-04,9.850,
2009-07,9.790,
2009-10,9.812,
2010-01,9.799,
2010-04,9.946,
2010-07,9.923,
2010-10,9.924,
2011-01,9.927,
2011-04,9.978,
2011-07,10.071,
2011-10,10.056,
2012-01,10.074,
2012-04,10.150,
2012-07,10.221,
2012-10,10.249,
2013-01,10.254,
2013-04,10.250,
2013-07,10.379,
2013-10,10.373,
2014-01,10.442,
2014-04,10.485,
2014-07,10.597,
