"",BBK01.OECK01P,BBK01.OECK01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:39,
2002-01,0.063,
2002-04,0.062,
2002-07,0.061,
2002-10,0.060,
2003-01,0.061,
2003-04,0.063,
2003-07,0.063,
2003-10,0.062,
2004-01,0.067,
2004-04,0.069,
2004-07,0.068,
2004-10,0.063,
2005-01,0.071,
2005-04,0.075,
2005-07,0.078,
2005-10,0.076,
2006-01,0.080,
2006-04,0.076,
2006-07,0.077,
2006-10,0.077,
2007-01,0.078,
2007-04,0.079,
2007-07,0.087,
2007-10,0.094,
2008-01,0.095,
2008-04,0.102,
2008-07,0.103,
2008-10,0.099,
2009-01,0.093,
2009-04,0.094,
2009-07,0.094,
2009-10,0.096,
2010-01,0.090,
2010-04,0.089,
2010-07,0.092,
2010-10,0.098,
2011-01,0.090,
2011-04,0.094,
2011-07,0.094,
2011-10,0.081,
2012-01,0.083,
2012-04,0.083,
2012-07,0.085,
2012-10,0.086,
2013-01,0.083,
2013-04,0.086,
2013-07,0.089,
2013-10,0.094,
2014-01,0.092,
2014-04,0.092,
2014-07,0.101,
