"",BBDA1.M.DE.N.EX.S.A.GB.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.GB.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / United Kingdom / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:30,
1990-07,2553763,
1990-08,2179349,
1990-09,2097784,
1990-10,2552663,
1990-11,2272051,
1990-12,1964253,
1991-01,2195301,
1991-02,2144321,
1991-03,2207209,
1991-04,2130154,
1991-05,2141310,
1991-06,2119191,
1991-07,2373286,
1991-08,2077726,
1991-09,1948233,
1991-10,2348273,
1991-11,2240569,
1991-12,1989112,
1992-01,2108480,
1992-02,2209180,
1992-03,2539334,
1992-04,2344173,
1992-05,2082686,
1992-06,2190143,
1992-07,2462312,
1992-08,2064033,
1992-09,2219303,
1992-10,2341777,
1992-11,1992215,
1992-12,2008824,
1993-01,1659182,
1993-02,1998724,
1993-03,2261938,
1993-04,2286037,
1993-05,2152015,
1993-06,2304340,
1993-07,2299089,
1993-08,2055775,
1993-09,2202427,
1993-10,2230583,
1993-11,2162679,
1993-12,2097002,
1994-01,2013296,
1994-02,2203611,
1994-03,2481714,
1994-04,2306436,
1994-05,2309737,
1994-06,2654712,
1994-07,2517766,
1994-08,2257033,
1994-09,2395753,
1994-10,2390419,
1994-11,2402891,
1994-12,2389750,
1995-01,2348989,
1995-02,2511421,
1995-03,2755784,
1995-04,3022602,
1995-05,2690592,
1995-06,2853180,
1995-07,2696115,
1995-08,2461695,
1995-09,2641739,
1995-10,2652032,
1995-11,2536801,
1995-12,2484206,
1996-01,2708429,
1996-02,2652820,
1996-03,2750489,
1996-04,2654052,
1996-05,2587379,
1996-06,2751991,
1996-07,2999060,
1996-08,2414998,
1996-09,2499380,
1996-10,2861973,
1996-11,2953444,
1996-12,2718531,
1997-01,2813385,
1997-02,2929982,
1997-03,3033144,
1997-04,3222457,
1997-05,3063153,
1997-06,3423324,
1997-07,3593209,
1997-08,3089757,
1997-09,3159932,
1997-10,3387238,
1997-11,3434543,
1997-12,3177099,
1998-01,3239886,
1998-02,3467202,
1998-03,3416902,
1998-04,3776804,
1998-05,3171611,
1998-06,3762898,
1998-07,3946624,
1998-08,3224816,
1998-09,3156587,
1998-10,3511802,
1998-11,3481924,
1998-12,3439456,
1999-01,3108380,
1999-02,3431620,
1999-03,3785761,
1999-04,3536625,
