"",BBK01.OEAA08M,BBK01.OEAA08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:41,
2002-01,12.360,
2002-04,12.422,
2002-07,12.499,
2002-10,12.653,
2003-01,12.810,
2003-04,12.700,
2003-07,12.668,
2003-10,14.481,
2004-01,13.006,
2004-04,13.756,
2004-07,16.233,
2004-10,13.863,
2005-01,15.450,
2005-04,15.325,
2005-07,15.281,
2005-10,15.123,
2006-01,14.900,
2006-04,14.689,
2006-07,14.631,
2006-10,14.280,
2007-01,14.851,
2007-04,14.308,
2007-07,13.867,
2007-10,13.475,
2008-01,10.165,
2008-04,9.627,
2008-07,8.943,
2008-10,8.368,
2009-01,7.942,
2009-04,7.468,
2009-07,7.038,
2009-10,6.749,
2010-01,6.610,
2010-04,6.712,
2010-07,6.787,
2010-10,6.771,
2011-01,6.620,
2011-04,6.554,
2011-07,6.491,
2011-10,6.463,
2012-01,6.114,
2012-04,5.899,
2012-07,5.707,
2012-10,5.430,
2013-01,5.054,
2013-04,4.750,
2013-07,4.295,
2013-10,3.929,
2014-01,3.617,
2014-04,3.343,
2014-07,3.120,
