"",BBK01.OEXJ03K,BBK01.OEXJ03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:36,
2002-01,3.099,
2002-04,2.985,
2002-07,2.852,
2002-10,3.359,
2003-01,3.053,
2003-04,3.037,
2003-07,3.766,
2003-10,3.931,
2004-01,3.352,
2004-04,3.243,
2004-07,3.320,
2004-10,1.236,
2005-01,1.123,
2005-04,1.161,
2005-07,1.296,
2005-10,1.351,
2006-01,1.426,
2006-04,1.762,
2006-07,1.608,
2006-10,1.441,
2007-01,1.915,
2007-04,1.871,
2007-07,1.891,
2007-10,2.142,
2008-01,1.925,
2008-04,2.328,
2008-07,2.350,
2008-10,2.167,
2009-01,2.169,
2009-04,2.468,
2009-07,2.145,
2009-10,2.224,
2010-01,2.500,
2010-04,2.421,
2010-07,2.358,
2010-10,2.941,
2011-01,2.799,
2011-04,2.886,
2011-07,3.237,
2011-10,3.122,
2012-01,3.345,
2012-04,3.407,
2012-07,3.342,
2012-10,3.191,
2013-01,3.670,
2013-04,2.852,
2013-07,2.114,
2013-10,2.393,
2014-01,2.129,
2014-04,1.863,
2014-07,1.828,
