"",BBK01.OEYI02Q,BBK01.OEYI02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:44,
2002-01,1.253,
2002-04,1.393,
2002-07,1.419,
2002-10,2.271,
2003-01,1.423,
2003-04,2.571,
2003-07,3.976,
2003-10,3.915,
2004-01,4.122,
2004-04,1.499,
2004-07,1.324,
2004-10,1.365,
2005-01,3.411,
2005-04,2.781,
2005-07,3.454,
2005-10,3.168,
2006-01,3.075,
2006-04,3.251,
2006-07,3.409,
2006-10,3.145,
2007-01,3.108,
2007-04,4.436,
2007-07,3.278,
2007-10,4.095,
2008-01,4.458,
2008-04,2.727,
2008-07,2.568,
2008-10,3.342,
2009-01,4.510,
2009-04,3.740,
2009-07,5.869,
2009-10,3.374,
2010-01,5.296,
2010-04,4.057,
2010-07,3.328,
2010-10,1.480,
2011-01,3.677,
2011-04,4.358,
2011-07,3.849,
2011-10,2.353,
2012-01,2.526,
2012-04,5.002,
2012-07,4.952,
2012-10,4.700,
2013-01,6.819,
2013-04,7.730,
2013-07,6.810,
2013-10,6.061,
2014-01,7.571,
2014-04,9.791,
2014-07,7.586,
