"",BBBP1.A.DE.N.D.P010.X.X.Z5.0000.Z0Z.KP,BBBP1.A.DE.N.D.P010.X.X.Z5.0000.Z0Z.KP_FLAGS
"",,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-30 12:31:48,
1968,1.82,
1969,1.88,
1970,1.89,
1971,1.89,
1972,1.92,
1973,1.90,comment
1974,2.13,
1975,2.24,
1976,2.08,comment
1977,2.04,
1978,1.98,
1979,1.83,comment
1980,1.78,
1981,1.92,
1982,2.12,
1983,2.27,
1984,2.15,
1985,2.08,comment
1986,2.02,
1987,1.89,
1988,1.83,
1989,1.73,
1990,1.72,
1991,1.79,
1992,1.81,
1993,1.87,
1994,1.89,
1995,1.76,
1996,1.65,
1997,1.50,
1998,1.37,
1999,1.28,
2000,1.14,
2001,1.12,
2002,1.20,
2003,1.16,
2004,1.18,
2005,1.17,
2006,1.15,
2007,1.12,
2008,1.09,
2009,1.14,
2010,1.14,
2011,1.02,
2012,0.99,
2013,1.01,Provisional value
