"",BBK01.OEXM03I,BBK01.OEXM03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:41,
2002-01,0.201,
2002-04,0.155,
2002-07,0.149,
2002-10,0.262,
2003-01,0.469,
2003-04,0.456,
2003-07,0.466,
2003-10,0.617,
2004-01,0.665,
2004-04,0.683,
2004-07,1.155,
2004-10,1.150,
2005-01,0.833,
2005-04,0.640,
2005-07,0.561,
2005-10,0.570,
2006-01,0.480,
2006-04,0.385,
2006-07,0.546,
2006-10,0.592,
2007-01,0.624,
2007-04,0.444,
2007-07,0.728,
2007-10,0.781,
2008-01,0.597,
2008-04,0.629,
2008-07,0.545,
2008-10,0.348,
2009-01,0.128,
2009-04,0.101,
2009-07,0.051,
2009-10,0.059,
2010-01,0.126,
2010-04,0.312,
2010-07,0.386,
2010-10,0.549,
2011-01,0.745,
2011-04,0.994,
2011-07,1.185,
2011-10,1.412,
2012-01,1.416,
2012-04,2.205,
2012-07,2.851,
2012-10,3.055,
2013-01,4.568,
2013-04,4.622,
2013-07,4.850,
2013-10,4.964,
2014-01,4.753,
2014-04,4.662,
2014-07,4.174,
