"",BBK01.SUD215,BBK01.SUD215_FLAGS
"",New business (volumes) of German banks / Loans for consumption to households with an initial rate fixation of over 5 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:26:56,
2003-01,2912,
2003-02,3136,
2003-03,3966,
2003-04,4109,
2003-05,3489,
2003-06,3773,
2003-07,4405,
2003-08,3658,
2003-09,4575,
2003-10,4398,
2003-11,3851,
2003-12,3701,
2004-01,3746,
2004-02,3539,
2004-03,4494,
2004-04,4074,
2004-05,3147,
2004-06,3794,
2004-07,3792,
2004-08,3038,
2004-09,3058,
2004-10,2927,
2004-11,3133,
2004-12,2846,
2005-01,2847,
2005-02,2743,
2005-03,3353,
2005-04,3627,
2005-05,3085,
2005-06,3779,
2005-07,3699,
2005-08,3487,
2005-09,3081,
2005-10,2752,
2005-11,2993,
2005-12,2778,
2006-01,2942,
2006-02,2987,
2006-03,3733,
2006-04,3316,
2006-05,3338,
2006-06,3105,
2006-07,3048,
2006-08,3119,
2006-09,2858,
2006-10,3092,
2006-11,3030,
2006-12,2734,
2007-01,2872,
2007-02,2501,
2007-03,3973,
2007-04,3213,
2007-05,3252,
2007-06,3157,
2007-07,3332,
2007-08,3376,
2007-09,2772,
2007-10,3132,
2007-11,2348,
2007-12,2039,
2008-01,2631,
2008-02,2143,
2008-03,2167,
2008-04,2657,
2008-05,2237,
2008-06,2412,
2008-07,2616,
2008-08,2141,
2008-09,2219,
2008-10,2285,
2008-11,2049,
2008-12,1947,
2009-01,2101,
2009-02,2173,
2009-03,2765,
2009-04,2485,
2009-05,2247,
2009-06,2347,
2009-07,2607,
2009-08,1958,
2009-09,2007,
2009-10,2018,
2009-11,1733,
2009-12,1789,
2010-01,1889,
2010-02,1834,
2010-03,2179,
2010-04,1979,
2010-05,1719,
2010-06,2174,
2010-07,2223,
2010-08,2036,
2010-09,2084,
2010-10,2092,
2010-11,2041,
2010-12,1686,
2011-01,2108,
2011-02,2108,
2011-03,2537,
2011-04,2254,
2011-05,2558,
2011-06,2066,
2011-07,2228,
2011-08,2361,
2011-09,2254,
2011-10,2267,
2011-11,2024,
2011-12,1603,
2012-01,2216,
2012-02,2111,
2012-03,2568,
2012-04,2308,
2012-05,2300,
2012-06,2248,
2012-07,2644,
2012-08,2331,
2012-09,1983,
2012-10,2281,
2012-11,2004,
2012-12,1425,
2013-01,2318,
2013-02,2000,
2013-03,2195,
2013-04,2379,
2013-05,2227,
2013-06,2379,
2013-07,2802,
2013-08,2411,
2013-09,2185,
2013-10,2311,
2013-11,1956,
2013-12,1485,
2014-01,2429,
2014-02,2185,
2014-03,2420,
2014-04,2612,
2014-05,2648,
2014-06,2727,
2014-07,2865,
2014-08,3009,
2014-09,2828,
2014-10,3106,
2014-11,2601,
2014-12,2119,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. p = Provisional,
