"",BBSF2.M.1.P.00000.IMM01.I.F.DGG.DE.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.DGG.DE.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Loans granted to real estate companies / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:36,
2009-09,909,
2009-10,908,
2009-11,736,
2009-12,778,
2010-01,786,
2010-02,792,
2010-03,756,
2010-04,760,
2010-05,849,
2010-06,1010,
2010-07,788,
2010-08,796,
2010-09,789,
2010-10,806,
2010-11,852,
2010-12,678,
2011-01,662,
2011-02,662,
2011-03,658,
2011-04,663,
2011-05,664,
2011-06,659,
2011-07,640,
2011-08,636,
2011-09,641,
2011-10,640,
2011-11,815,
2011-12,666,
2012-01,669,
2012-02,690,
2012-03,685,
2012-04,751,
2012-05,855,
2012-06,852,
2012-07,869,
2012-08,836,
2012-09,829,
2012-10,837,
2012-11,833,
2012-12,824,
2013-01,713,
2013-02,733,
2013-03,739,
2013-04,739,
2013-05,707,
2013-06,723,
2013-07,741,
2013-08,740,
2013-09,741,
2013-10,755,
2013-11,769,
2013-12,760,
2014-01,767,
2014-02,754,
2014-03,758,
2014-04,760,
2014-05,749,
2014-06,692,
2014-07,721,
2014-08,751,
2014-09,735,
2014-10,738,
2014-11,788,
