"",BBK01.OEXB03N,BBK01.OEXB03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:56,
2002-01,14.278,
2002-04,14.417,
2002-07,14.273,
2002-10,14.098,
2003-01,14.336,
2003-04,14.954,
2003-07,15.381,
2003-10,16.241,
2004-01,15.908,
2004-04,17.116,
2004-07,18.627,
2004-10,16.015,
2005-01,15.594,
2005-04,16.243,
2005-07,16.283,
2005-10,16.769,
2006-01,16.173,
2006-04,16.331,
2006-07,17.046,
2006-10,17.265,
2007-01,17.142,
2007-04,18.178,
2007-07,18.599,
2007-10,18.719,
2008-01,20.763,
2008-04,21.372,
2008-07,20.007,
2008-10,19.784,
2009-01,18.442,
2009-04,18.833,
2009-07,19.302,
2009-10,19.602,
2010-01,19.639,
2010-04,19.700,
2010-07,19.784,
2010-10,20.582,
2011-01,20.906,
2011-04,20.883,
2011-07,21.695,
2011-10,21.046,
2012-01,20.557,
2012-04,20.521,
2012-07,20.750,
2012-10,21.774,
2013-01,21.903,
2013-04,21.701,
2013-07,21.672,
2013-10,21.821,
2014-01,22.913,
2014-04,23.583,
2014-07,23.590,
