"",BBK01.OEAE27V,BBK01.OEAE27V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:44,
2002-01,0.195,
2002-04,0.195,
2002-07,0.189,
2002-10,0.214,
2003-01,0.241,
2003-04,0.147,
2003-07,0.179,
2003-10,0.152,
2004-01,0.175,
2004-04,0.190,
2004-07,0.187,
2004-10,0.218,
2005-01,0.234,
2005-04,0.212,
2005-07,0.204,
2005-10,0.182,
2006-01,0.139,
2006-04,0.136,
2006-07,0.135,
2006-10,0.137,
2007-01,0.144,
2007-04,0.143,
2007-07,0.150,
2007-10,0.125,
2008-01,0.124,
2008-04,0.132,
2008-07,0.133,
2008-10,0.127,
2009-01,0.119,
2009-04,0.120,
2009-07,0.114,
2009-10,0.240,
2010-01,0.086,
2010-04,0.138,
2010-07,0.131,
2010-10,0.128,
2011-01,0.133,
2011-04,0.134,
2011-07,0.139,
2011-10,0.143,
2012-01,0.140,
2012-04,0.144,
2012-07,0.147,
2012-10,0.147,
2013-01,0.142,
2013-04,0.143,
2013-07,0.142,
2013-10,0.139,
2014-01,0.142,
2014-04,0.043,
2014-07,0.044,
