"",BBDE1.M.DE.Y.AEB5.A2R290050.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2R290050.F.C.I10.A_FLAGS
"","Orders received from abroad / At constant prices / Germany / 29+30 Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:27,
1991-01,40.2,
1991-02,39.7,
1991-03,39.3,
1991-04,34.5,
1991-05,36.4,
1991-06,38.7,
1991-07,39.0,
1991-08,46.3,
1991-09,38.9,
1991-10,37.0,
1991-11,38.6,
1991-12,43.5,
1992-01,35.9,
1992-02,40.6,
1992-03,38.6,
1992-04,36.9,
1992-05,35.7,
1992-06,34.9,
1992-07,35.8,
1992-08,34.4,
1992-09,34.9,
1992-10,29.6,
1992-11,33.1,
1992-12,36.6,
1993-01,33.3,
1993-02,30.6,
1993-03,31.1,
1993-04,30.8,
1993-05,35.6,
1993-06,32.4,
1993-07,31.7,
1993-08,31.3,
1993-09,34.3,
1993-10,35.0,
1993-11,33.7,
1993-12,39.3,
1994-01,33.0,
1994-02,34.5,
1994-03,42.7,
1994-04,38.7,
1994-05,34.2,
1994-06,38.8,
1994-07,37.6,
1994-08,37.7,
1994-09,38.9,
1994-10,35.4,
1994-11,42.2,
1994-12,41.7,
1995-01,36.9,
1995-02,38.7,
1995-03,40.5,
1995-04,36.7,
1995-05,36.7,
1995-06,37.4,
1995-07,37.7,
1995-08,36.6,
1995-09,36.9,
1995-10,37.2,
1995-11,40.2,
1995-12,42.3,
1996-01,38.0,
1996-02,40.3,
1996-03,42.9,
1996-04,43.6,
1996-05,43.1,
1996-06,40.6,
1996-07,44.0,
1996-08,44.6,
1996-09,41.3,
1996-10,44.5,
1996-11,43.7,
1996-12,43.9,
1997-01,46.1,
1997-02,46.0,
1997-03,48.4,
1997-04,51.2,
1997-05,46.4,
1997-06,47.3,
1997-07,46.0,
1997-08,50.8,
1997-09,49.1,
1997-10,49.8,
1997-11,44.4,
1997-12,54.0,
1998-01,50.1,
1998-02,52.1,
1998-03,57.1,
1998-04,59.2,
1998-05,56.1,
1998-06,52.1,
