"",BBK01.OEYB20J,BBK01.OEYB20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:55,
2002-01,0.975,
2002-04,0.987,
2002-07,0.594,
2002-10,0.600,
2003-01,0.599,
2003-04,0.596,
2003-07,0.605,
2003-10,0.612,
2004-01,0.611,
2004-04,0.607,
2004-07,0.611,
2004-10,0.604,
2005-01,0.588,
2005-04,0.581,
2005-07,0.572,
2005-10,0.555,
2006-01,0.549,
2006-04,0.543,
2006-07,0.533,
2006-10,0.523,
2007-01,0.532,
2007-04,0.521,
2007-07,0.514,
2007-10,0.501,
2008-01,0.488,
2008-04,0.476,
2008-07,0.332,
2008-10,0.333,
2009-01,0.331,
2009-04,0.326,
2009-07,0.321,
2009-10,0.315,
2010-01,0.312,
2010-04,0.297,
2010-07,0.292,
2010-10,0.284,
2011-01,0.276,
2011-04,0.271,
2011-07,0.268,
2011-10,0.264,
2012-01,0.259,
2012-04,0.259,
2012-07,0.255,
2012-10,0.247,
2013-01,0.246,
2013-04,0.239,
2013-07,0.237,
2013-10,0.235,
2014-01,0.231,
2014-04,0.229,
2014-07,0.041,
