"",BBK01.OELI08R,BBK01.OELI08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:14,
2002-01,1.302,
2002-04,1.283,
2002-07,1.322,
2002-10,1.413,
2003-01,1.440,
2003-04,1.418,
2003-07,1.446,
2003-10,1.468,
2004-01,1.469,
2004-04,1.448,
2004-07,1.433,
2004-10,1.439,
2005-01,1.437,
2005-04,1.426,
2005-07,1.438,
2005-10,1.479,
2006-01,1.509,
2006-04,1.503,
2006-07,1.505,
2006-10,1.488,
2007-01,1.458,
2007-04,1.455,
2007-07,1.467,
2007-10,1.497,
2008-01,1.507,
2008-04,1.477,
2008-07,1.455,
2008-10,1.494,
2009-01,1.484,
2009-04,1.431,
2009-07,1.357,
2009-10,1.368,
2010-01,1.325,
2010-04,1.287,
2010-07,1.284,
2010-10,1.307,
2011-01,1.328,
2011-04,1.328,
2011-07,1.330,
2011-10,1.366,
2012-01,1.340,
2012-04,1.341,
2012-07,1.349,
2012-10,1.365,
2013-01,1.365,
2013-04,1.372,
2013-07,1.386,
2013-10,1.408,
2014-01,1.418,
2014-04,1.419,
2014-07,1.422,
