"",BBK01.OEAH68I,BBK01.OEAH68I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:44,
2002-01,13.062,
2002-04,12.395,
2002-07,12.296,
2002-10,12.566,
2003-01,12.746,
2003-04,12.631,
2003-07,12.613,
2003-10,12.683,
2004-01,12.552,
2004-04,12.361,
2004-07,12.271,
2004-10,12.423,
2005-01,14.936,
2005-04,14.787,
2005-07,14.726,
2005-10,14.906,
2006-01,14.824,
2006-04,14.687,
2006-07,14.442,
2006-10,14.479,
2007-01,14.674,
2007-04,14.597,
2007-07,14.678,
2007-10,14.872,
2008-01,14.783,
2008-04,14.838,
2008-07,14.696,
2008-10,15.709,
2009-01,15.736,
2009-04,15.157,
2009-07,14.895,
2009-10,14.737,
2010-01,13.783,
2010-04,13.412,
2010-07,12.779,
2010-10,12.751,
2011-01,12.342,
2011-04,12.058,
2011-07,11.907,
2011-10,11.860,
2012-01,11.983,
2012-04,11.795,
2012-07,11.712,
2012-10,11.761,
2013-01,11.593,
2013-04,11.518,
2013-07,11.369,
2013-10,11.342,
2014-01,11.177,
2014-04,11.061,
2014-07,11.087,
