"",BBK01.OEYJ02T,BBK01.OEYJ02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:40,
2002-01,0.071,
2002-04,0.104,
2002-07,0.092,
2002-10,0.091,
2003-01,0.156,
2003-04,0.108,
2003-07,0.095,
2003-10,0.074,
2004-01,0.070,
2004-04,0.074,
2004-07,0.072,
2004-10,0.069,
2005-01,0.080,
2005-04,0.071,
2005-07,0.083,
2005-10,0.079,
2006-01,0.144,
2006-04,0.098,
2006-07,0.056,
2006-10,0.100,
2007-01,0.128,
2007-04,0.083,
2007-07,0.103,
2007-10,0.083,
2008-01,0.094,
2008-04,0.143,
2008-07,0.095,
2008-10,0.116,
2009-01,0.127,
2009-04,0.131,
2009-07,0.163,
2009-10,0.162,
2010-01,0.168,
2010-04,0.254,
2010-07,0.211,
2010-10,0.121,
2011-01,0.151,
2011-04,0.174,
2011-07,0.208,
2011-10,0.201,
2012-01,0.190,
2012-04,0.171,
2012-07,0.117,
2012-10,0.140,
2013-01,0.252,
2013-04,0.256,
2013-07,0.177,
2013-10,0.202,
2014-01,0.220,
2014-04,0.169,
2014-07,0.251,
