"",BBK01.OEAE15Q,BBK01.OEAE15Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:23,
2002-01,0.606,
2002-04,0.602,
2002-07,0.617,
2002-10,0.599,
2003-01,0.586,
2003-04,0.991,
2003-07,0.692,
2003-10,0.633,
2004-01,0.613,
2004-04,0.548,
2004-07,0.494,
2004-10,0.514,
2005-01,0.556,
2005-04,0.532,
2005-07,0.464,
2005-10,0.434,
2006-01,0.458,
2006-04,0.467,
2006-07,0.415,
2006-10,0.405,
2007-01,0.367,
2007-04,0.383,
2007-07,0.369,
2007-10,0.367,
2008-01,0.380,
2008-04,0.389,
2008-07,0.388,
2008-10,0.401,
2009-01,0.371,
2009-04,0.357,
2009-07,0.339,
2009-10,0.298,
2010-01,0.315,
2010-04,0.306,
2010-07,0.311,
2010-10,0.298,
2011-01,0.288,
2011-04,0.300,
2011-07,0.269,
2011-10,0.275,
2012-01,0.271,
2012-04,0.274,
2012-07,0.262,
2012-10,0.258,
2013-01,0.262,
2013-04,0.276,
2013-07,0.271,
2013-10,0.258,
2014-01,0.326,
2014-04,0.264,
2014-07,0.281,
