"",BBK01.OEBM04M,BBK01.OEBM04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:38,
2002-01,0.497,
2002-04,0.554,
2002-07,0.456,
2002-10,0.400,
2003-01,0.285,
2003-04,0.329,
2003-07,0.296,
2003-10,0.344,
2004-01,0.258,
2004-04,0.268,
2004-07,0.211,
2004-10,0.284,
2005-01,0.206,
2005-04,0.342,
2005-07,0.257,
2005-10,0.292,
2006-01,0.230,
2006-04,0.311,
2006-07,0.273,
2006-10,0.308,
2007-01,0.249,
2007-04,0.360,
2007-07,0.430,
2007-10,0.411,
2008-01,0.357,
2008-04,0.447,
2008-07,0.294,
2008-10,0.469,
2009-01,0.491,
2009-04,0.486,
2009-07,0.435,
2009-10,0.441,
2010-01,0.398,
2010-04,0.330,
2010-07,0.321,
2010-10,0.296,
2011-01,0.233,
2011-04,0.365,
2011-07,0.357,
2011-10,0.289,
2012-01,0.482,
2012-04,0.586,
2012-07,0.502,
2012-10,0.587,
2013-01,1.168,
2013-04,1.269,
2013-07,1.346,
2013-10,1.246,
2014-01,1.263,
2014-04,1.628,
2014-07,1.947,
