"",BBK01.CEHH10,BBK01.CEHH10_FLAGS
"",Shares debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:29,
1991-01,0.5,
1991-04,1.1,
1991-07,1.9,
1991-10,0.9,
1992-01,0.5,
1992-04,1.8,
1992-07,1.4,
1992-10,1.5,
1993-01,1.6,
1993-04,1.2,
1993-07,1.0,
1993-10,1.9,
1994-01,3.7,
1994-04,2.5,
1994-07,3.1,
1994-10,0.9,
1995-01,5.7,
1995-04,2.5,
1995-07,1.1,
1995-10,2.6,
1996-01,-0.1,
1996-04,2.4,
1996-07,1.1,
1996-10,11.4,
1997-01,-1.0,
1997-04,0.9,
1997-07,1.7,
1997-10,0.7,
1998-01,1.9,
1998-04,8.5,
1998-07,4.1,
1998-10,31.1,
1999-01,6.6,
1999-04,21.1,
1999-07,21.0,
1999-10,10.7,
2000-01,15.8,
2000-04,29.8,
2000-07,15.9,
2000-10,8.2,
2001-01,5.9,
2001-04,31.1,
2001-07,2.7,
2001-10,-3.0,
2002-01,-1.8,
2002-04,2.4,
2002-07,-0.2,
2002-10,0.3,
2003-01,-8.5,
2003-04,-0.4,
2003-07,1.5,
2003-10,-0.5,
2004-01,-0.4,
2004-04,2.5,
2004-07,0.5,
2004-10,-0.5,
2005-01,1.3,
2005-04,0.6,
2005-07,2.5,
2005-10,1.6,
2006-01,-0.9,
2006-04,2.5,
2006-07,3.7,
2006-10,0.3,
2007-01,1.9,
2007-04,2.7,
2007-07,0.5,
2007-10,1.6,
2008-01,0.9,
2008-04,1.4,
2008-07,0.7,
2008-10,0.5,
2009-01,1.9,
2009-04,0.3,
2009-07,2.3,
2009-10,1.0,
2010-01,6.1,
2010-04,0.1,
2010-07,0.2,
2010-10,0.8,
2011-01,0.3,
2011-04,5.5,
2011-07,-0.3,
2011-10,1.9,
2012-01,0.6,
2012-04,1.0,
2012-07,0.4,
2012-10,1.0,
2013-01,0.6,
2013-04,0.1,
2013-07,-0.3,
2013-10,1.0,
2014-01,0.1,
