"",BBSF2.M.1.S.I0122.GEF01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEF01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:54,
2009-09,52,
2009-10,199,
2009-11,428,
2009-12,258,
2010-01,674,
2010-02,212,
2010-03,69,
2010-04,217,
2010-05,93,
2010-06,98,
2010-07,586,
2010-08,88,
2010-09,6,
2010-10,385,
2010-11,442,
2010-12,202,
2011-01,358,
2011-02,114,
2011-03,107,
2011-04,145,
2011-05,78,
2011-06,78,
2011-07,77,
2011-08,-,Nothing exists
2011-09,81,
2011-10,60,
2011-11,7,
2011-12,1118,
2012-01,31,
2012-02,44,
2012-03,86,
2012-04,209,
2012-05,78,
2012-06,23,
2012-07,15,
2012-08,30,
2012-09,190,
2012-10,427,
2012-11,25,
2012-12,118,
2013-01,1093,
2013-02,35,
2013-03,313,
2013-04,87,
2013-05,6,
2013-06,102,
2013-07,178,
2013-08,2,
2013-09,15,
2013-10,67,
2013-11,31,
2013-12,106,
2014-01,44,
2014-02,29,
2014-03,265,
2014-04,63,
2014-05,37,
2014-06,24,
2014-07,4,
2014-08,63,
2014-09,113,
2014-10,40,
2014-11,429,
