"",BBK01.OEAD06K,BBK01.OEAD06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:33,
2002-01,1.183,
2002-04,1.206,
2002-07,1.197,
2002-10,1.149,
2003-01,1.108,
2003-04,1.058,
2003-07,0.989,
2003-10,1.193,
2004-01,1.245,
2004-04,1.335,
2004-07,1.414,
2004-10,1.450,
2005-01,1.274,
2005-04,1.194,
2005-07,1.158,
2005-10,1.088,
2006-01,1.053,
2006-04,1.097,
2006-07,1.248,
2006-10,1.241,
2007-01,1.013,
2007-04,1.090,
2007-07,1.065,
2007-10,1.048,
2008-01,1.615,
2008-04,1.651,
2008-07,1.643,
2008-10,1.566,
2009-01,1.361,
2009-04,1.441,
2009-07,1.263,
2009-10,1.226,
2010-01,1.122,
2010-04,1.166,
2010-07,1.294,
2010-10,1.270,
2011-01,1.272,
2011-04,1.215,
2011-07,1.168,
2011-10,1.088,
2012-01,1.095,
2012-04,0.977,
2012-07,0.991,
2012-10,0.920,
2013-01,0.951,
2013-04,0.986,
2013-07,1.042,
2013-10,0.982,
2014-01,1.015,
2014-04,1.026,
2014-07,1.003,
