"",BBK01.OEBJ04P,BBK01.OEBJ04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:26,
2002-01,0.180,
2002-04,0.213,
2002-07,0.201,
2002-10,0.186,
2003-01,0.187,
2003-04,0.213,
2003-07,0.222,
2003-10,0.448,
2004-01,0.421,
2004-04,0.434,
2004-07,0.218,
2004-10,0.429,
2005-01,0.296,
2005-04,0.189,
2005-07,0.180,
2005-10,0.298,
2006-01,0.238,
2006-04,0.179,
2006-07,0.160,
2006-10,0.161,
2007-01,0.235,
2007-04,0.220,
2007-07,0.247,
2007-10,0.384,
2008-01,0.420,
2008-04,0.369,
2008-07,0.243,
2008-10,0.358,
2009-01,0.382,
2009-04,0.248,
2009-07,0.268,
2009-10,0.267,
2010-01,0.421,
2010-04,0.223,
2010-07,0.291,
2010-10,0.308,
2011-01,0.325,
2011-04,0.393,
2011-07,0.421,
2011-10,0.412,
2012-01,0.332,
2012-04,0.376,
2012-07,0.557,
2012-10,0.517,
2013-01,0.457,
2013-04,0.332,
2013-07,0.292,
2013-10,0.123,
2014-01,0.172,
2014-04,0.241,
2014-07,0.211,
