"",BBSF2.M.1.T.00000.DSO01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DSO01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Funds-of-funds: Other funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:04,
2009-09,115,
2009-10,113,
2009-11,114,
2009-12,142,
2010-01,150,
2010-02,152,
2010-03,157,
2010-04,147,
2010-05,137,
2010-06,140,
2010-07,151,
2010-08,153,
2010-09,151,
2010-10,157,
2010-11,157,
2010-12,143,
2011-01,138,
2011-02,143,
2011-03,122,
2011-04,120,
2011-05,106,
2011-06,103,
2011-07,174,
2011-08,165,
2011-09,174,
2011-10,174,
2011-11,170,
2011-12,169,
2012-01,197,
2012-02,246,
2012-03,240,
2012-04,255,
2012-05,226,
2012-06,176,
2012-07,180,
2012-08,177,
2012-09,203,
2012-10,198,
2012-11,180,
2012-12,173,
2013-01,169,
2013-02,173,
2013-03,172,
2013-04,177,
2013-05,201,
2013-06,175,
2013-07,163,
2013-08,162,
2013-09,204,
2013-10,198,
2013-11,199,
2013-12,197,
2014-01,214,
2014-02,199,
2014-03,208,
2014-04,208,
2014-05,211,
2014-06,212,
2014-07,198,
2014-08,191,
2014-09,186,
2014-10,158,
2014-11,160,
