"",BBK01.OEAC52J,BBK01.OEAC52J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:11,
2002-01,1.510,
2002-04,1.506,
2002-07,1.562,
2002-10,1.634,
2003-01,1.578,
2003-04,1.578,
2003-07,1.591,
2003-10,1.669,
2004-01,1.735,
2004-04,1.838,
2004-07,1.848,
2004-10,1.873,
2005-01,1.985,
2005-04,2.036,
2005-07,2.062,
2005-10,2.130,
2006-01,2.210,
2006-04,2.200,
2006-07,2.266,
2006-10,1.372,
2007-01,1.345,
2007-04,1.384,
2007-07,1.530,
2007-10,1.585,
2008-01,1.630,
2008-04,1.723,
2008-07,1.743,
2008-10,1.730,
2009-01,1.661,
2009-04,1.714,
2009-07,1.709,
2009-10,1.747,
2010-01,1.503,
2010-04,4.158,
2010-07,4.066,
2010-10,4.293,
2011-01,4.203,
2011-04,4.230,
2011-07,4.506,
2011-10,4.589,
2012-01,4.225,
2012-04,4.523,
2012-07,4.348,
2012-10,4.245,
2013-01,4.210,
2013-04,4.069,
2013-07,4.172,
2013-10,4.002,
2014-01,4.062,
2014-04,3.957,
2014-07,4.010,
