"",BBFN1.M.DE.N.1.A.HK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:27,
1982-09,0.034,
1982-10,0.035,
1982-11,0.035,
1982-12,0.039,
1983-01,0.030,
1983-02,0.037,
1983-03,0.032,
1983-04,0.036,
1983-05,0.035,
1983-06,0.033,
1983-07,0.036,
1983-08,0.036,
1983-09,0.043,
1983-10,0.040,
1983-11,0.042,
1983-12,0.039,
1984-01,0.036,
1984-02,0.037,
1984-03,0.034,
1984-04,0.034,
1984-05,0.046,
1984-06,0.037,
1984-07,0.040,
1984-08,0.041,
1984-09,0.043,
1984-10,0.044,
1984-11,0.041,
1984-12,0.044,
1985-01,0.050,
1985-02,0.049,
1985-03,0.051,
1985-04,0.056,
1985-05,0.057,
1985-06,0.119,
1985-07,0.148,
1985-08,0.198,
1985-09,0.105,
1985-10,0.259,
1985-11,0.221,
1985-12,0.198,
1986-01,0.189,
1986-02,0.250,
1986-03,0.185,
1986-04,0.214,
1986-05,0.203,
1986-06,0.271,
1986-07,0.317,
1986-08,0.338,
1986-09,0.311,
1986-10,0.401,
1986-11,0.371,
1986-12,0.315,
1987-01,0.324,
1987-02,0.251,
1987-03,0.371,
1987-04,0.327,
1987-05,0.266,
1987-06,0.376,
1987-07,0.364,
1987-08,0.340,
1987-09,0.361,
1987-10,0.572,
1987-11,0.482,
1987-12,0.324,
1988-01,0.348,
1988-02,0.356,
1988-03,0.437,
1988-04,0.612,
1988-05,0.527,
1988-06,0.487,
1988-07,0.494,
1988-08,0.626,
1988-09,0.563,
1988-10,0.668,
1988-11,0.811,
1988-12,0.614,
1989-01,0.956,
1989-02,0.593,
1989-03,0.858,
1989-04,0.721,
1989-05,0.717,
1989-06,0.570,
1989-07,0.647,
1989-08,0.462,
1989-09,0.456,
1989-10,0.436,
1989-11,0.634,
1989-12,0.373,
1990-01,0.532,
1990-02,0.490,
1990-03,0.580,
1990-04,0.379,
1990-05,0.325,
1990-06,0.310,
1990-07,0.308,
1990-08,0.309,
1990-09,0.269,
1990-10,0.274,
1990-11,0.219,
1990-12,0.211,
1991-01,0.241,
1991-02,0.299,
1991-03,0.297,
1991-04,0.292,
1991-05,0.285,
1991-06,0.294,
1991-07,0.332,
1991-08,0.263,
1991-09,0.332,
1991-10,0.341,
1991-11,0.222,
1991-12,0.363,
