"",BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:36,
1991-01,18.463,
1991-04,187.429,
1991-07,-25.255,
1991-10,80.724,
1992-01,-90.410,
1992-04,-66.698,
1992-07,12.852,
1992-10,159.240,
1993-01,-106.366,
1993-04,2.099,
1993-07,-173.948,
1993-10,-110.925,
1994-01,-80.904,
1994-04,-88.841,
1994-07,-7.355,
1994-10,78.591,
1995-01,56.483,
1995-04,-20.883,
1995-07,20.456,
1995-10,46.920,
1996-01,-46.260,
1996-04,61.872,
1996-07,151.009,
1996-10,60.397,
1997-01,8.366,
1997-04,83.468,
1997-07,246.262,
1997-10,782.645,
1998-01,296.041,
1998-04,331.187,
1998-07,232.699,
1998-10,9.160,
1999-01,102.140,
1999-04,221.074,
1999-07,416.852,
1999-10,116.174,
2000-01,283.066,
2000-04,303.408,
2000-07,-133.642,
2000-10,184.198,
2001-01,-144.987,
2001-04,282.082,
2001-07,90.178,
2001-10,229.615,
2002-01,199.912,
2002-04,745.644,
2002-07,-251.857,
2002-10,-56.294,
2003-01,17.757,
2003-04,-84.837,
2003-07,203.627,
2003-10,35.381,
2004-01,60.797,
2004-04,-158.402,
2004-07,192.519,
2004-10,-491.344,
2005-01,-38.349,
2005-04,-315.105,
2005-07,-109.690,
2005-10,221.223,
2006-01,277.357,
2006-04,152.507,
2006-07,50.617,
2006-10,400.040,
2007-01,259.674,
2007-04,901.641,
2007-07,569.649,
2007-10,-448.000,
2008-01,310.518,
2008-04,285.450,
2008-07,63.550,
2008-10,305.086,
2009-01,40.122,
2009-04,2737.685,
2009-07,618.983,
2009-10,-653.712,
2010-01,-1369.866,
2010-04,-155.043,
2010-07,-1047.960,
2010-10,405.505,
2011-01,417.754,
2011-04,383.678,
2011-07,-192.371,
2011-10,-243.651,
2012-01,124.138,
2012-04,-515.480,
2012-07,88.833,
2012-10,-238.825,
2013-01,-204.958,
2013-04,-791.053,
2013-07,81.272,
2013-10,-140.862,
2014-01,-367.709,Provisional value
2014-04,-156.519,Provisional value
2014-07,-15.493,Provisional value
2014-10,33.148,Provisional value
