"",BBK01.OEAH95K,BBK01.OEAH95K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:02,
2002-01,0.326,
2002-04,0.283,
2002-07,0.282,
2002-10,0.297,
2003-01,0.305,
2003-04,0.301,
2003-07,0.297,
2003-10,0.288,
2004-01,0.283,
2004-04,0.281,
2004-07,0.271,
2004-10,0.272,
2005-01,0.426,
2005-04,0.421,
2005-07,0.409,
2005-10,0.417,
2006-01,0.423,
2006-04,0.420,
2006-07,0.425,
2006-10,0.422,
2007-01,0.431,
2007-04,0.419,
2007-07,0.416,
2007-10,0.432,
2008-01,0.439,
2008-04,0.451,
2008-07,0.453,
2008-10,0.485,
2009-01,0.508,
2009-04,0.516,
2009-07,0.536,
2009-10,0.548,
2010-01,0.553,
2010-04,0.550,
2010-07,0.548,
2010-10,0.563,
2011-01,0.553,
2011-04,0.550,
2011-07,0.537,
2011-10,0.547,
2012-01,0.562,
2012-04,0.566,
2012-07,0.587,
2012-10,0.606,
2013-01,0.579,
2013-04,0.564,
2013-07,0.550,
2013-10,0.559,
2014-01,0.538,
2014-04,0.522,
2014-07,0.513,
