"",BBK01.OEBO03Q,BBK01.OEBO03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:58,
2002-01,0.676,
2002-04,0.721,
2002-07,0.460,
2002-10,0.469,
2003-01,0.600,
2003-04,0.543,
2003-07,0.596,
2003-10,0.583,
2004-01,0.628,
2004-04,0.476,
2004-07,0.458,
2004-10,0.488,
2005-01,0.768,
2005-04,0.682,
2005-07,0.636,
2005-10,0.670,
2006-01,0.794,
2006-04,0.761,
2006-07,0.729,
2006-10,0.821,
2007-01,0.954,
2007-04,0.760,
2007-07,0.735,
2007-10,0.778,
2008-01,0.859,
2008-04,0.789,
2008-07,0.775,
2008-10,0.997,
2009-01,0.933,
2009-04,0.741,
2009-07,0.889,
2009-10,1.020,
2010-01,1.003,
2010-04,0.711,
2010-07,0.566,
2010-10,0.687,
2011-01,0.833,
2011-04,0.827,
2011-07,0.743,
2011-10,0.633,
2012-01,0.832,
2012-04,0.650,
2012-07,0.648,
2012-10,0.644,
2013-01,0.825,
2013-04,0.604,
2013-07,0.534,
2013-10,0.470,
2014-01,0.459,
2014-04,0.424,
2014-07,0.425,
