"",BBFN1.M.DE.N.1.L.TW.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TW.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2007-12,0.187,
2008-01,0.169,
2008-02,0.167,
2008-03,0.158,
2008-04,0.159,
2008-05,0.159,
2008-06,0.166,
2008-07,0.056,
2008-08,0.071,
2008-09,0.059,
2008-10,0.062,
2008-11,0.076,
2008-12,0.069,
2009-01,0.058,
2009-02,0.089,
2009-03,0.066,
2009-04,0.063,
2009-05,0.055,
2009-06,0.066,
2009-07,0.062,
2009-08,0.059,
2009-09,0.062,
2009-10,0.041,
2009-11,0.041,
2009-12,0.046,
2010-01,0.041,
2010-02,0.031,
2010-03,0.038,
2010-04,0.047,
2010-05,0.047,
2010-06,0.059,
2010-07,.,No value available
2010-08,0.049,
2010-09,.,No value available
2010-10,0.041,
2010-11,0.044,
2010-12,0.048,
2011-01,0.037,
2011-02,0.035,
2011-03,0.047,
2011-04,0.050,
2011-05,0.049,
2011-06,0.042,
2011-07,0.037,
2011-08,0.039,
2011-09,0.049,
2011-10,0.043,
2011-11,0.053,
2011-12,0.058,
2012-01,0.056,
2012-02,0.051,
2012-03,0.061,
2012-04,0.061,
2012-05,0.060,
2012-06,0.058,
2012-07,0.066,
2012-08,0.057,
2012-09,0.072,
2012-10,0.075,
2012-11,0.077,
2012-12,0.080,
2013-01,0.053,
2013-02,0.063,
2013-03,0.047,
2013-04,0.046,
2013-05,0.051,
2013-06,0.058,
2013-07,0.054,
2013-08,0.051,
2013-09,0.074,
2013-10,0.057,
2013-11,0.056,
2013-12,0.051,
2014-01,0.048,
2014-02,0.047,
2014-03,0.052,
2014-04,0.048,
2014-05,0.081,
2014-06,0.049,
2014-07,0.060,
2014-08,0.041,
2014-09,0.045,
2014-10,0.047,
2014-11,0.044,
2014-12,0.038,
