"",BBK01.OECL04U,BBK01.OECL04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:43,
2002-01,0.119,
2002-04,0.116,
2002-07,0.112,
2002-10,0.108,
2003-01,0.090,
2003-04,0.091,
2003-07,0.085,
2003-10,0.104,
2004-01,0.077,
2004-04,0.075,
2004-07,0.075,
2004-10,0.081,
2005-01,0.121,
2005-04,0.117,
2005-07,0.114,
2005-10,0.104,
2006-01,0.110,
2006-04,0.103,
2006-07,0.105,
2006-10,0.111,
2007-01,0.144,
2007-04,0.161,
2007-07,0.187,
2007-10,0.246,
2008-01,0.292,
2008-04,0.307,
2008-07,0.394,
2008-10,0.423,
2009-01,0.402,
2009-04,0.388,
2009-07,0.279,
2009-10,0.261,
2010-01,0.168,
2010-04,0.177,
2010-07,0.136,
2010-10,0.119,
2011-01,0.128,
2011-04,0.125,
2011-07,0.131,
2011-10,0.171,
2012-01,0.180,
2012-04,0.197,
2012-07,0.139,
2012-10,0.079,
2013-01,0.080,
2013-04,0.063,
2013-07,0.059,
2013-10,0.056,
2014-01,0.058,
2014-04,0.057,
2014-07,0.034,
