"",BBK01.OEAH60R,BBK01.OEAH60R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:52,
2002-01,0.470,
2002-04,0.427,
2002-07,0.435,
2002-10,0.429,
2003-01,0.419,
2003-04,0.398,
2003-07,0.403,
2003-10,0.359,
2004-01,0.359,
2004-04,0.355,
2004-07,0.340,
2004-10,0.328,
2005-01,0.348,
2005-04,0.342,
2005-07,0.353,
2005-10,0.345,
2006-01,0.312,
2006-04,0.353,
2006-07,0.347,
2006-10,0.358,
2007-01,0.387,
2007-04,0.404,
2007-07,0.425,
2007-10,0.465,
2008-01,0.501,
2008-04,0.528,
2008-07,0.595,
2008-10,0.661,
2009-01,0.607,
2009-04,0.531,
2009-07,0.435,
2009-10,0.356,
2010-01,0.325,
2010-04,0.307,
2010-07,0.284,
2010-10,0.267,
2011-01,0.257,
2011-04,0.253,
2011-07,0.252,
2011-10,0.287,
2012-01,0.289,
2012-04,0.281,
2012-07,0.274,
2012-10,0.250,
2013-01,0.232,
2013-04,0.227,
2013-07,0.221,
2013-10,0.212,
2014-01,0.210,
2014-04,0.194,
2014-07,0.196,
