"",BBFB1.Q.N.DE.FR.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:23,
1991-01,-183.015,
1991-04,-1.351,
1991-07,-23.018,
1991-10,-22.526,
1992-01,-11.989,
1992-04,15.137,
1992-07,12.918,
1992-10,-9.899,
1993-01,-27.330,
1993-04,-24.243,
1993-07,-28.684,
1993-10,19.593,
1994-01,1.709,
1994-04,2.758,
1994-07,-26.907,
1994-10,3.382,
1995-01,-24.539,
1995-04,0.109,
1995-07,-7.138,
1995-10,30.999,
1996-01,-17.216,
1996-04,-0.018,
1996-07,36.266,
1996-10,36.971,
1997-01,15.786,
1997-04,32.576,
1997-07,10.945,
1997-10,69.713,
1998-01,28.226,
1998-04,18.931,
1998-07,-13.267,
1998-10,15.256,
1999-01,81.909,
1999-04,137.738,
1999-07,148.612,
1999-10,154.708,
2000-01,89.801,
2000-04,46.027,
2000-07,18.700,
2000-10,53.087,
2001-01,45.123,
2001-04,-6.323,
2001-07,109.369,
2001-10,111.942,
2002-01,66.443,
2002-04,42.847,
2002-07,60.809,
2002-10,178.431,
2003-01,70.283,
2003-04,64.362,
2003-07,129.931,
2003-10,91.886,
2004-01,104.262,
2004-04,202.217,
2004-07,85.452,
2004-10,66.619,
2005-01,103.881,
2005-04,96.010,
2005-07,104.686,
2005-10,43.164,
2006-01,93.271,
2006-04,59.357,
2006-07,45.271,
2006-10,75.000,
2007-01,1.838,
2007-04,64.139,
2007-07,4.666,
2007-10,42.109,
2008-01,17.894,
2008-04,267.632,
2008-07,-13.588,
2008-10,-2.839,
2009-01,69.740,
2009-04,120.046,
2009-07,-44.617,
2009-10,64.302,
2010-01,-2.756,
2010-04,52.757,
2010-07,-91.304,
2010-10,79.124,
2011-01,56.661,
2011-04,-520.636,
2011-07,-123.356,
2011-10,11.750,
2012-01,41.649,
2012-04,146.381,
2012-07,-35.587,
2012-10,61.087,
2013-01,44.129,
2013-04,196.418,
2013-07,-42.332,
2013-10,155.421,
2014-01,220.512,Provisional value
2014-04,163.061,Provisional value
2014-07,83.268,Provisional value
