"",BBSF2.M.1.S.I1251.IMM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.IMM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net asset value / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:01,
2009-09,4666,
2009-10,4654,
2009-11,4676,
2009-12,4860,
2010-01,4859,
2010-02,4866,
2010-03,4871,
2010-04,4884,
2010-05,4937,
2010-06,4924,
2010-07,4926,
2010-08,4951,
2010-09,4968,
2010-10,4960,
2010-11,4960,
2010-12,4716,
2011-01,4698,
2011-02,4750,
2011-03,4779,
2011-04,4791,
2011-05,4928,
2011-06,4918,
2011-07,4950,
2011-08,4981,
2011-09,5001,
2011-10,5018,
2011-11,5037,
2011-12,5072,
2012-01,5146,
2012-02,5113,
2012-03,5161,
2012-04,5167,
2012-05,5175,
2012-06,5167,
2012-07,5194,
2012-08,5211,
2012-09,5235,
2012-10,5243,
2012-11,5235,
2012-12,5154,
2013-01,5222,
2013-02,5262,
2013-03,5441,
2013-04,5440,
2013-05,5462,
2013-06,5565,
2013-07,5758,
2013-08,5841,
2013-09,5812,
2013-10,5821,
2013-11,5830,
2013-12,5794,
2014-01,5841,
2014-02,5862,
2014-03,5934,
2014-04,5989,
2014-05,5842,
2014-06,5874,
2014-07,5901,
2014-08,5895,
2014-09,5890,
2014-10,5991,
2014-11,6081,
