"",BBK01.OEBL09R,BBK01.OEBL09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:08,
2002-01,0.314,
2002-04,0.288,
2002-07,0.316,
2002-10,0.302,
2003-01,0.266,
2003-04,0.232,
2003-07,0.214,
2003-10,0.208,
2004-01,0.199,
2004-04,0.179,
2004-07,0.166,
2004-10,0.161,
2005-01,0.174,
2005-04,0.168,
2005-07,0.145,
2005-10,0.146,
2006-01,0.156,
2006-04,0.170,
2006-07,0.188,
2006-10,0.215,
2007-01,0.310,
2007-04,0.339,
2007-07,0.377,
2007-10,0.434,
2008-01,0.476,
2008-04,0.504,
2008-07,0.538,
2008-10,0.684,
2009-01,0.656,
2009-04,0.631,
2009-07,0.617,
2009-10,0.526,
2010-01,0.443,
2010-04,0.425,
2010-07,0.406,
2010-10,0.462,
2011-01,0.530,
2011-04,0.549,
2011-07,0.562,
2011-10,0.560,
2012-01,0.534,
2012-04,0.530,
2012-07,0.506,
2012-10,0.449,
2013-01,0.392,
2013-04,0.351,
2013-07,0.331,
2013-10,0.319,
2014-01,0.308,
2014-04,0.296,
2014-07,0.346,
