"",BBK01.OEYO06G,BBK01.OEYO06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:44,
2002-01,5.250,
2002-04,5.178,
2002-07,5.262,
2002-10,5.465,
2003-01,5.606,
2003-04,5.742,
2003-07,5.734,
2003-10,5.664,
2004-01,5.657,
2004-04,5.615,
2004-07,5.654,
2004-10,5.626,
2005-01,5.641,
2005-04,5.689,
2005-07,8.266,
2005-10,8.355,
2006-01,8.315,
2006-04,8.130,
2006-07,7.946,
2006-10,7.619,
2007-01,7.447,
2007-04,7.008,
2007-07,6.665,
2007-10,6.526,
2008-01,6.342,
2008-04,5.968,
2008-07,5.672,
2008-10,5.548,
2009-01,5.914,
2009-04,6.027,
2009-07,6.264,
2009-10,6.815,
2010-01,6.902,
2010-04,6.931,
2010-07,7.042,
2010-10,7.189,
2011-01,7.275,
2011-04,7.102,
2011-07,7.090,
2011-10,6.908,
2012-01,7.099,
2012-04,7.162,
2012-07,7.155,
2012-10,7.306,
2013-01,7.285,
2013-04,7.380,
2013-07,7.375,
2013-10,7.297,
2014-01,7.292,
2014-04,7.348,
2014-07,7.314,
