"",BBSF2.M.1.T.00000.SON01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.SON01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Other funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:35,
2009-09,67,
2009-10,86,
2009-11,95,
2009-12,112,
2010-01,134,
2010-02,133,
2010-03,176,
2010-04,173,
2010-05,178,
2010-06,177,
2010-07,184,
2010-08,178,
2010-09,201,
2010-10,222,
2010-11,445,
2010-12,248,
2011-01,263,
2011-02,271,
2011-03,236,
2011-04,283,
2011-05,332,
2011-06,260,
2011-07,252,
2011-08,276,
2011-09,278,
2011-10,325,
2011-11,1447,
2011-12,1046,
2012-01,1100,
2012-02,1157,
2012-03,1155,
2012-04,1204,
2012-05,1383,
2012-06,1309,
2012-07,1131,
2012-08,1216,
2012-09,1255,
2012-10,1308,
2012-11,1394,
2012-12,1446,
2013-01,1454,
2013-02,1471,
2013-03,1465,
2013-04,1586,
2013-05,1735,
2013-06,1654,
2013-07,1712,
2013-08,1695,
2013-09,1785,
2013-10,1876,
2013-11,1948,
2013-12,1968,
2014-01,1837,
2014-02,1853,
2014-03,1834,
2014-04,1830,
2014-05,1909,
2014-06,1907,
2014-07,1887,
2014-08,1985,
2014-09,2014,
2014-10,2004,
2014-11,2109,
