"",BBFB1.Q.N.DE.AU.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:52,
1991-01,-0.674,
1991-04,-0.273,
1991-07,4.182,
1991-10,-0.482,
1992-01,0.124,
1992-04,-0.716,
1992-07,-0.111,
1992-10,-0.497,
1993-01,-0.443,
1993-04,-2.006,
1993-07,-0.824,
1993-10,-0.311,
1994-01,-0.295,
1994-04,-1.990,
1994-07,-1.093,
1994-10,-1.343,
1995-01,-0.498,
1995-04,-0.182,
1995-07,-0.205,
1995-10,14.130,
1996-01,-0.588,
1996-04,-0.166,
1996-07,-0.443,
1996-10,-1.578,
1997-01,-1.501,
1997-04,-1.580,
1997-07,-0.227,
1997-10,-1.533,
1998-01,-0.141,
1998-04,2.923,
1998-07,-0.405,
1998-10,-1.549,
1999-01,-0.362,
1999-04,-1.625,
1999-07,-0.015,
1999-10,-1.682,
2000-01,-0.131,
2000-04,-1.681,
2000-07,-0.087,
2000-10,-0.085,
2001-01,-0.002,
2001-04,-1.400,
2001-07,-0.017,
2001-10,-1.395,
2002-01,-0.085,
2002-04,-1.363,
2002-07,-,Nothing exists
2002-10,-1.519,
2003-01,16.481,
2003-04,-1.632,
2003-07,-,Nothing exists
2003-10,-0.256,
2004-01,-0.193,
2004-04,-1.350,
2004-07,-0.032,
2004-10,-2.017,
2005-01,-0.179,
2005-04,-0.462,
2005-07,0.162,
2005-10,-0.205,
2006-01,0.014,
2006-04,0.707,
2006-07,-0.162,
2006-10,-0.002,
2007-01,-0.707,
2007-04,-0.181,
2007-07,-0.496,
2007-10,53.843,
2008-01,157.044,
2008-04,-0.342,
2008-07,-0.693,
2008-10,1.970,
2009-01,19.496,
2009-04,-21.160,
2009-07,2.213,
2009-10,25.324,
2010-01,0.041,
2010-04,3.154,
2010-07,-0.497,
2010-10,-1.340,
2011-01,3.948,
2011-04,-0.334,
2011-07,7.963,
2011-10,26.538,
2012-01,-5.718,
2012-04,-36.263,
2012-07,-1.991,
2012-10,8.094,
2013-01,43.184,
2013-04,0.830,
2013-07,-106.747,
2013-10,-42.330,
2014-01,-33.610,Provisional value
2014-04,5.000,Provisional value
2014-07,-25.856,Provisional value
2014-10,30.877,Provisional value
