"",BBK01.OEYB11K,BBK01.OEYB11K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:59,
2002-01,4.992,
2002-04,5.049,
2002-07,5.097,
2002-10,5.794,
2003-01,6.162,
2003-04,6.681,
2003-07,7.211,
2003-10,6.984,
2004-01,7.107,
2004-04,8.213,
2004-07,8.341,
2004-10,6.281,
2005-01,6.714,
2005-04,6.162,
2005-07,6.780,
2005-10,6.561,
2006-01,5.920,
2006-04,5.636,
2006-07,5.883,
2006-10,5.620,
2007-01,4.651,
2007-04,5.273,
2007-07,5.655,
2007-10,5.777,
2008-01,6.320,
2008-04,6.874,
2008-07,7.947,
2008-10,8.583,
2009-01,9.138,
2009-04,9.200,
2009-07,8.751,
2009-10,7.400,
2010-01,7.422,
2010-04,6.923,
2010-07,7.005,
2010-10,7.327,
2011-01,6.548,
2011-04,6.260,
2011-07,7.009,
2011-10,7.020,
2012-01,6.825,
2012-04,6.465,
2012-07,6.895,
2012-10,6.415,
2013-01,6.434,
2013-04,6.540,
2013-07,6.438,
2013-10,6.343,
2014-01,6.621,
2014-04,6.780,
2014-07,6.890,
