"",BBK01.OEAE36R,BBK01.OEAE36R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:46,
2002-01,0.255,
2002-04,0.253,
2002-07,0.257,
2002-10,0.263,
2003-01,0.318,
2003-04,0.337,
2003-07,0.342,
2003-10,0.356,
2004-01,0.332,
2004-04,0.332,
2004-07,0.341,
2004-10,0.349,
2005-01,0.367,
2005-04,0.366,
2005-07,0.364,
2005-10,0.358,
2006-01,0.372,
2006-04,0.388,
2006-07,0.395,
2006-10,0.390,
2007-01,0.375,
2007-04,0.303,
2007-07,0.307,
2007-10,0.356,
2008-01,0.394,
2008-04,0.386,
2008-07,0.365,
2008-10,0.367,
2009-01,0.366,
2009-04,0.273,
2009-07,0.278,
2009-10,0.269,
2010-01,0.288,
2010-04,0.306,
2010-07,0.315,
2010-10,0.330,
2011-01,0.347,
2011-04,0.352,
2011-07,0.360,
2011-10,0.379,
2012-01,0.376,
2012-04,0.386,
2012-07,0.402,
2012-10,0.404,
2013-01,0.398,
2013-04,0.372,
2013-07,0.319,
2013-10,0.324,
2014-01,0.320,
2014-04,0.303,
2014-07,0.304,
