"",BBK01.OECB17G,BBK01.OECB17G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:48,
2002-01,6.792,
2002-04,6.734,
2002-07,6.640,
2002-10,6.629,
2003-01,6.495,
2003-04,6.449,
2003-07,6.445,
2003-10,6.426,
2004-01,6.355,
2004-04,6.325,
2004-07,6.358,
2004-10,6.447,
2005-01,8.716,
2005-04,8.792,
2005-07,8.939,
2005-10,8.954,
2006-01,9.043,
2006-04,9.122,
2006-07,9.241,
2006-10,9.278,
2007-01,9.307,
2007-04,9.536,
2007-07,9.507,
2007-10,9.493,
2008-01,9.487,
2008-04,9.489,
2008-07,9.494,
2008-10,9.457,
2009-01,9.366,
2009-04,11.388,
2009-07,11.320,
2009-10,11.183,
2010-01,11.129,
2010-04,11.128,
2010-07,11.146,
2010-10,10.804,
2011-01,11.174,
2011-04,11.029,
2011-07,10.962,
2011-10,10.993,
2012-01,10.923,
2012-04,10.870,
2012-07,10.872,
2012-10,10.859,
2013-01,10.919,
2013-04,10.850,
2013-07,10.810,
2013-10,10.794,
2014-01,10.807,
2014-04,10.870,
2014-07,11.001,
