"",BBFN1.M.DE.N.1.A.PE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Peru,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:03,
1994-12,0.129,
1995-01,0.138,
1995-02,0.139,
1995-03,0.135,
1995-04,0.140,
1995-05,0.144,
1995-06,0.144,
1995-07,0.161,
1995-08,0.153,
1995-09,0.153,
1995-10,0.151,
1995-11,0.142,
1995-12,0.142,
1996-01,0.140,
1996-02,0.132,
1996-03,0.130,
1996-04,0.132,
1996-05,0.144,
1996-06,0.134,
1996-07,0.133,
1996-08,0.125,
1996-09,0.135,
1996-10,0.130,
1996-11,0.130,
1996-12,0.129,
1997-01,0.129,
1997-02,0.130,
1997-03,0.137,
1997-04,0.143,
1997-05,0.149,
1997-06,0.154,
1997-07,0.156,
1997-08,0.156,
1997-09,0.167,
1997-10,0.174,
1997-11,0.172,
1997-12,0.183,
1998-01,0.166,
1998-02,0.167,
1998-03,0.183,
1998-04,0.188,
1998-05,0.186,
1998-06,0.179,
1998-07,0.174,
1998-08,0.176,
1998-09,0.179,
1998-10,0.179,
1998-11,0.172,
1998-12,0.169,
1999-01,0.160,
1999-02,0.160,
1999-03,0.169,
1999-04,0.172,
1999-05,0.174,
1999-06,0.171,
1999-07,0.179,
1999-08,0.173,
1999-09,0.157,
1999-10,0.158,
1999-11,0.168,
1999-12,0.193,
2000-01,0.191,
2000-02,0.199,
2000-03,0.201,
2000-04,0.203,
2000-05,0.220,
2000-06,0.227,
2000-07,0.227,
2000-08,0.214,
2000-09,0.192,
2000-10,0.193,
2000-11,0.190,
2000-12,0.197,
2001-01,0.187,
2001-02,0.187,
2001-03,0.195,
2001-04,0.197,
2001-05,0.195,
2001-06,0.188,
2001-07,0.193,
2001-08,0.190,
2001-09,0.194,
2001-10,0.196,
2001-11,0.204,
2001-12,0.212,
2002-01,0.220,
2002-02,0.214,
2002-03,0.214,
2002-04,0.209,
2002-05,0.209,
2002-06,0.195,
2002-07,0.195,
2002-08,0.197,
2002-09,0.203,
2002-10,0.203,
2002-11,0.196,
2002-12,0.201,
2003-01,0.191,
2003-02,0.196,
2003-03,0.197,
2003-04,0.185,
2003-05,0.191,
2003-06,0.185,
2003-07,0.183,
2003-08,0.181,
2003-09,0.172,
2003-10,0.169,
2003-11,0.179,
2003-12,0.174,
2004-01,0.164,
2004-02,0.163,
2004-03,0.174,
2004-04,0.167,
2004-05,0.128,
2004-06,0.133,
2004-07,0.142,
2004-08,0.143,
2004-09,0.136,
2004-10,0.135,
2004-11,0.132,
2004-12,0.139,
2005-01,0.140,
2005-02,0.131,
2005-03,0.141,
2005-04,0.140,
2005-05,0.140,
2005-06,0.150,
2005-07,0.155,
2005-08,0.163,
2005-09,0.164,
2005-10,0.148,
2005-11,0.143,
2005-12,0.147,
2006-01,0.142,
2006-02,0.144,
2006-03,0.145,
2006-04,0.149,
2006-05,0.156,
2006-06,0.160,
2006-07,0.160,
2006-08,0.155,
2006-09,0.170,
2006-10,0.163,
2006-11,0.164,
2006-12,0.165,
2007-01,0.155,
2007-02,0.151,
2007-03,0.165,
2007-04,0.166,
2007-05,0.167,
2007-06,0.166,
2007-07,0.177,
2007-08,0.184,
2007-09,0.176,
2007-10,0.197,
2007-11,0.196,
2007-12,0.198,
2008-01,0.189,
2008-02,0.198,
2008-03,0.211,
2008-04,0.220,
2008-05,0.225,
2008-06,0.255,
2008-07,0.264,
2008-08,0.261,
2008-09,0.260,
2008-10,0.261,
2008-11,0.270,
2008-12,0.270,
2009-01,0.268,
2009-02,0.259,
2009-03,0.256,
2009-04,0.252,
2009-05,0.267,
2009-06,0.250,
2009-07,0.270,
2009-08,0.256,
2009-09,0.243,
2009-10,0.251,
2009-11,0.260,
2009-12,0.271,
2010-01,0.266,
2010-02,0.263,
2010-03,0.298,
2010-04,0.293,
2010-05,0.307,
2010-06,0.337,
2010-07,0.346,
2010-08,0.342,
2010-09,0.319,
2010-10,0.319,
2010-11,0.328,
2010-12,0.327,
2011-01,0.331,
2011-02,0.338,
2011-03,0.341,
2011-04,0.361,
2011-05,0.348,
2011-06,0.361,
2011-07,0.380,
2011-08,0.385,
2011-09,0.402,
2011-10,0.421,
2011-11,0.423,
2011-12,0.417,
2012-01,0.411,
2012-02,0.436,
2012-03,0.444,
2012-04,0.428,
2012-05,0.454,
2012-06,0.452,
2012-07,0.445,
2012-08,0.450,
2012-09,0.442,
2012-10,0.433,
2012-11,0.445,
2012-12,0.435,
2013-01,0.423,
2013-02,0.442,
2013-03,0.452,
2013-04,0.457,
2013-05,0.465,
2013-06,0.487,
2013-07,0.471,
2013-08,0.468,
2013-09,0.471,
2013-10,0.463,
2013-11,0.484,
2013-12,0.449,
2014-01,0.515,
2014-02,0.528,
2014-03,0.540,
2014-04,0.515,
2014-05,0.538,
2014-06,0.565,
2014-07,0.592,
2014-08,0.585,
2014-09,0.603,
2014-10,0.624,
2014-11,0.611,
2014-12,0.582,
