"",BBK01.OELO02P,BBK01.OELO02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:52,
2002-01,0.486,
2002-04,0.310,
2002-07,0.333,
2002-10,0.311,
2003-01,0.421,
2003-04,0.327,
2003-07,0.287,
2003-10,0.293,
2004-01,0.346,
2004-04,0.226,
2004-07,0.247,
2004-10,0.223,
2005-01,0.296,
2005-04,0.215,
2005-07,0.229,
2005-10,0.224,
2006-01,0.344,
2006-04,0.235,
2006-07,0.276,
2006-10,0.279,
2007-01,0.367,
2007-04,0.271,
2007-07,0.278,
2007-10,0.297,
2008-01,0.342,
2008-04,0.252,
2008-07,0.245,
2008-10,0.352,
2009-01,0.429,
2009-04,0.314,
2009-07,0.400,
2009-10,0.460,
2010-01,0.412,
2010-04,0.256,
2010-07,0.230,
2010-10,0.204,
2011-01,0.245,
2011-04,0.226,
2011-07,0.254,
2011-10,0.245,
2012-01,0.241,
2012-04,0.200,
2012-07,0.201,
2012-10,0.222,
2013-01,0.258,
2013-04,0.206,
2013-07,0.167,
2013-10,0.188,
2014-01,0.186,
2014-04,0.181,
2014-07,0.167,
