"",BBK01.OECB09Q,BBK01.OECB09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:28,
2002-01,3.253,
2002-04,3.284,
2002-07,3.334,
2002-10,3.306,
2003-01,3.142,
2003-04,3.196,
2003-07,3.482,
2003-10,3.402,
2004-01,3.255,
2004-04,3.321,
2004-07,3.234,
2004-10,4.179,
2005-01,4.230,
2005-04,4.036,
2005-07,4.022,
2005-10,3.661,
2006-01,3.551,
2006-04,3.489,
2006-07,3.387,
2006-10,3.520,
2007-01,3.377,
2007-04,3.214,
2007-07,3.149,
2007-10,3.135,
2008-01,2.996,
2008-04,3.001,
2008-07,2.979,
2008-10,2.962,
2009-01,2.927,
2009-04,2.946,
2009-07,2.840,
2009-10,2.936,
2010-01,2.866,
2010-04,2.836,
2010-07,2.823,
2010-10,2.760,
2011-01,2.732,
2011-04,2.740,
2011-07,2.761,
2011-10,2.686,
2012-01,2.675,
2012-04,2.639,
2012-07,2.700,
2012-10,2.615,
2013-01,2.745,
2013-04,2.716,
2013-07,2.770,
2013-10,2.647,
2014-01,2.715,
2014-04,2.770,
2014-07,2.794,
