"",BBK01.OEAO01T,BBK01.OEAO01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:40,
2002-01,11.235,
2002-04,11.184,
2002-07,10.875,
2002-10,10.876,
2003-01,11.184,
2003-04,11.214,
2003-07,11.133,
2003-10,11.141,
2004-01,11.436,
2004-04,11.429,
2004-07,11.336,
2004-10,11.282,
2005-01,12.281,
2005-04,12.306,
2005-07,12.223,
2005-10,12.193,
2006-01,12.379,
2006-04,12.388,
2006-07,12.282,
2006-10,12.162,
2007-01,12.274,
2007-04,12.307,
2007-07,12.224,
2007-10,12.133,
2008-01,12.339,
2008-04,12.285,
2008-07,12.148,
2008-10,11.995,
2009-01,12.406,
2009-04,12.392,
2009-07,12.289,
2009-10,12.281,
2010-01,12.537,
2010-04,12.521,
2010-07,12.461,
2010-10,12.461,
2011-01,12.728,
2011-04,12.798,
2011-07,12.720,
2011-10,12.632,
2012-01,12.745,
2012-04,12.825,
2012-07,12.743,
2012-10,12.745,
2013-01,12.914,
2013-04,12.940,
2013-07,12.868,
2013-10,12.855,
2014-01,12.910,
2014-04,12.884,
2014-07,12.840,
