"",BBK01.OEXM02V,BBK01.OEXM02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:40,
2002-01,0.108,
2002-04,0.114,
2002-07,0.127,
2002-10,0.150,
2003-01,0.143,
2003-04,0.149,
2003-07,0.145,
2003-10,0.169,
2004-01,0.176,
2004-04,0.195,
2004-07,0.226,
2004-10,0.235,
2005-01,0.280,
2005-04,0.308,
2005-07,0.289,
2005-10,0.312,
2006-01,0.290,
2006-04,0.289,
2006-07,0.264,
2006-10,0.237,
2007-01,0.214,
2007-04,0.215,
2007-07,0.181,
2007-10,0.162,
2008-01,0.143,
2008-04,0.124,
2008-07,0.123,
2008-10,0.283,
2009-01,0.737,
2009-04,1.502,
2009-07,1.477,
2009-10,1.216,
2010-01,1.093,
2010-04,1.209,
2010-07,1.185,
2010-10,0.928,
2011-01,1.033,
2011-04,0.953,
2011-07,0.926,
2011-10,0.694,
2012-01,0.522,
2012-04,0.898,
2012-07,1.038,
2012-10,0.859,
2013-01,0.635,
2013-04,0.651,
2013-07,0.526,
2013-10,0.481,
2014-01,0.416,
2014-04,0.487,
2014-07,0.468,
