"",BBK01.OECL01U,BBK01.OECL01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:24,
2002-01,1.311,
2002-04,1.274,
2002-07,1.263,
2002-10,1.334,
2003-01,1.291,
2003-04,1.250,
2003-07,1.242,
2003-10,1.289,
2004-01,1.210,
2004-04,1.254,
2004-07,1.274,
2004-10,1.313,
2005-01,2.273,
2005-04,2.235,
2005-07,2.201,
2005-10,2.234,
2006-01,2.220,
2006-04,2.177,
2006-07,2.099,
2006-10,2.106,
2007-01,2.147,
2007-04,2.190,
2007-07,2.219,
2007-10,2.334,
2008-01,2.341,
2008-04,2.386,
2008-07,2.469,
2008-10,2.683,
2009-01,2.727,
2009-04,2.700,
2009-07,2.652,
2009-10,2.667,
2010-01,2.639,
2010-04,2.625,
2010-07,2.621,
2010-10,2.683,
2011-01,2.653,
2011-04,2.641,
2011-07,2.684,
2011-10,2.762,
2012-01,2.865,
2012-04,2.946,
2012-07,2.936,
2012-10,3.003,
2013-01,2.969,
2013-04,2.963,
2013-07,2.944,
2013-10,2.989,
2014-01,2.981,
2014-04,2.979,
2014-07,3.022,
