"",BBK01.OEBB14K,BBK01.OEBB14K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:12,
2002-01,1.086,
2002-04,1.001,
2002-07,1.007,
2002-10,1.197,
2003-01,0.978,
2003-04,0.901,
2003-07,0.847,
2003-10,1.385,
2004-01,0.874,
2004-04,0.852,
2004-07,0.920,
2004-10,1.124,
2005-01,0.680,
2005-04,0.707,
2005-07,0.655,
2005-10,0.637,
2006-01,0.669,
2006-04,0.620,
2006-07,0.598,
2006-10,0.595,
2007-01,0.520,
2007-04,0.534,
2007-07,0.487,
2007-10,0.596,
2008-01,0.536,
2008-04,0.495,
2008-07,0.508,
2008-10,0.517,
2009-01,0.517,
2009-04,0.511,
2009-07,0.468,
2009-10,0.457,
2010-01,0.435,
2010-04,0.643,
2010-07,0.636,
2010-10,0.777,
2011-01,0.766,
2011-04,0.751,
2011-07,0.671,
2011-10,0.660,
2012-01,0.680,
2012-04,0.713,
2012-07,0.675,
2012-10,0.712,
2013-01,0.753,
2013-04,0.763,
2013-07,0.840,
2013-10,0.846,
2014-01,0.866,
2014-04,0.897,
2014-07,0.881,
