"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.B000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.B000.Z06.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:27,
1968-12,0.275,
1969-01,0.329,
1969-02,0.308,
1969-03,0.276,
1969-04,0.277,
1969-05,0.335,
1969-06,0.241,
1969-07,0.298,
1969-08,0.284,
1969-09,0.215,
1969-10,0.298,
1969-11,0.274,
1969-12,0.269,
1970-01,0.285,
1970-02,0.266,
1970-03,0.309,
1970-04,0.232,
1970-05,0.218,
1970-06,0.286,
1970-07,0.190,
1970-08,0.222,
1970-09,0.184,
1970-10,0.219,
1970-11,0.238,
1970-12,0.216,
1971-01,0.212,
1971-02,0.230,
1971-03,0.196,
1971-04,0.286,
1971-05,0.246,
1971-06,0.238,
1971-07,0.259,
1971-08,0.317,
1971-09,0.251,
1971-10,0.199,
1971-11,0.257,
1971-12,0.226,
1972-01,0.282,
1972-02,0.250,
1972-03,0.237,
1972-04,0.270,
1972-05,0.206,
1972-06,0.195,
1972-07,0.208,
1972-08,0.197,
1972-09,0.187,
1972-10,0.192,
1972-11,0.195,
1972-12,0.212,
1973-01,0.202,
1973-02,0.177,
1973-03,0.166,
1973-04,0.177,
1973-05,0.170,
1973-06,0.182,
1973-07,0.171,
1973-08,0.173,
1973-09,0.178,
1973-10,0.155,
1973-11,0.166,
1973-12,0.198,
1974-01,0.240,
1974-02,0.284,
1974-03,0.309,
1974-04,0.247,
1974-05,0.298,
1974-06,0.297,
1974-07,0.332,
1974-08,0.326,
1974-09,0.296,
1974-10,0.322,
1974-11,0.285,
1974-12,0.312,
1975-01,0.306,
1975-02,0.318,
1975-03,0.367,
1975-04,0.295,
1975-05,0.339,
1975-06,0.328,
1975-07,0.338,
1975-08,0.356,
1975-09,0.380,
1975-10,0.379,
1975-11,0.397,
1975-12,0.356,
1976-01,0.355,
1976-02,0.387,
1976-03,0.388,
1976-04,0.419,
1976-05,0.457,
1976-06,0.467,
1976-07,0.511,
1976-08,0.511,
1976-09,0.560,
1976-10,0.571,
1976-11,0.573,
1976-12,0.547,
1977-01,0.585,
1977-02,0.552,
1977-03,0.547,
1977-04,0.623,
1977-05,0.691,
1977-06,0.644,
1977-07,0.657,
1977-08,0.668,
1977-09,0.685,
1977-10,0.730,
1977-11,0.716,
1977-12,0.799,
1978-01,0.788,
1978-02,0.751,
1978-03,0.693,
1978-04,0.715,
1978-05,1.093,
1978-06,1.116,
1978-07,1.063,
1978-08,0.798,
1978-09,0.909,
1978-10,1.138,
1978-11,0.999,
1978-12,0.783,
1979-01,0.893,
1979-02,0.707,
1979-03,0.871,
1979-04,0.885,
1979-05,1.072,
1979-06,1.067,
1979-07,1.125,
1979-08,1.031,
1979-09,0.837,
1979-10,0.803,
1979-11,0.766,
1979-12,0.685,
1980-01,0.787,
1980-02,0.774,
1980-03,0.835,
1980-04,0.905,
1980-05,0.946,
1980-06,0.940,
1980-07,0.973,
1980-08,0.978,
1980-09,0.880,
1980-10,0.949,
1980-11,1.010,
1980-12,1.058,
1981-01,1.188,
1981-02,1.237,
1981-03,1.198,
1981-04,1.417,
1981-05,1.721,
1981-06,1.493,
1981-07,1.624,
1981-08,1.694,
1981-09,1.658,
1981-10,1.643,
1981-11,1.645,
1981-12,1.544,
1982-01,1.613,
1982-02,1.625,
1982-03,1.504,
1982-04,1.551,
1982-05,1.504,
1982-06,1.515,
1982-07,1.594,
1982-08,1.522,
1982-09,1.443,
1982-10,1.446,
1982-11,1.460,
