"",BBK01.OEXM05K,BBK01.OEXM05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:55,
2002-01,0.115,
2002-04,0.114,
2002-07,0.122,
2002-10,0.153,
2003-01,0.169,
2003-04,0.182,
2003-07,0.201,
2003-10,0.229,
2004-01,0.229,
2004-04,0.238,
2004-07,0.242,
2004-10,0.120,
2005-01,0.120,
2005-04,0.125,
2005-07,0.131,
2005-10,0.121,
2006-01,0.122,
2006-04,0.119,
2006-07,0.118,
2006-10,0.110,
2007-01,0.111,
2007-04,0.110,
2007-07,0.096,
2007-10,0.089,
2008-01,0.080,
2008-04,0.085,
2008-07,0.082,
2008-10,0.082,
2009-01,0.096,
2009-04,0.092,
2009-07,0.068,
2009-10,0.081,
2010-01,0.083,
2010-04,0.075,
2010-07,0.073,
2010-10,0.067,
2011-01,0.057,
2011-04,0.057,
2011-07,0.055,
2011-10,0.067,
2012-01,0.062,
2012-04,0.058,
2012-07,0.054,
2012-10,0.051,
2013-01,0.056,
2013-04,0.056,
2013-07,0.053,
2013-10,0.049,
2014-01,0.049,
2014-04,0.074,
2014-07,0.063,
