"",BBK01.OECO01I,BBK01.OECO01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:03,
2002-01,1.493,
2002-04,1.420,
2002-07,0.971,
2002-10,0.950,
2003-01,1.033,
2003-04,0.987,
2003-07,0.968,
2003-10,1.060,
2004-01,1.063,
2004-04,1.006,
2004-07,0.983,
2004-10,1.134,
2005-01,3.862,
2005-04,3.813,
2005-07,3.821,
2005-10,3.818,
2006-01,3.850,
2006-04,3.771,
2006-07,3.769,
2006-10,3.728,
2007-01,3.725,
2007-04,3.800,
2007-07,3.766,
2007-10,3.677,
2008-01,3.705,
2008-04,3.713,
2008-07,3.857,
2008-10,3.733,
2009-01,3.815,
2009-04,4.016,
2009-07,4.226,
2009-10,4.494,
2010-01,4.651,
2010-04,4.698,
2010-07,4.672,
2010-10,4.685,
2011-01,4.730,
2011-04,4.682,
2011-07,4.635,
2011-10,4.626,
2012-01,4.632,
2012-04,4.938,
2012-07,4.857,
2012-10,4.815,
2013-01,4.854,
2013-04,4.801,
2013-07,4.741,
2013-10,4.620,
2014-01,4.582,
2014-04,4.514,
2014-07,4.390,
