"",BBK01.OEAF17T,BBK01.OEAF17T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:08,
2002-01,0.245,
2002-04,0.254,
2002-07,0.276,
2002-10,0.257,
2003-01,0.262,
2003-04,0.270,
2003-07,0.282,
2003-10,0.262,
2004-01,0.247,
2004-04,0.253,
2004-07,0.254,
2004-10,0.238,
2005-01,0.254,
2005-04,0.259,
2005-07,0.271,
2005-10,0.249,
2006-01,0.251,
2006-04,0.258,
2006-07,0.262,
2006-10,0.249,
2007-01,0.246,
2007-04,0.240,
2007-07,0.239,
2007-10,0.238,
2008-01,0.240,
2008-04,0.236,
2008-07,0.244,
2008-10,0.236,
2009-01,0.233,
2009-04,0.230,
2009-07,0.230,
2009-10,0.214,
2010-01,0.204,
2010-04,0.219,
2010-07,0.231,
2010-10,0.222,
2011-01,0.226,
2011-04,0.229,
2011-07,0.234,
2011-10,0.221,
2012-01,0.219,
2012-04,0.222,
2012-07,0.187,
2012-10,0.189,
2013-01,0.183,
2013-04,0.177,
2013-07,0.180,
2013-10,0.167,
2014-01,0.165,
2014-04,0.161,
2014-07,0.162,
