"",BBK01.OELL03U,BBK01.OELL03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:57,
2002-01,0.428,
2002-04,0.402,
2002-07,0.406,
2002-10,0.439,
2003-01,0.473,
2003-04,0.447,
2003-07,0.386,
2003-10,0.381,
2004-01,0.402,
2004-04,0.405,
2004-07,0.388,
2004-10,0.516,
2005-01,0.454,
2005-04,0.477,
2005-07,0.461,
2005-10,0.468,
2006-01,0.472,
2006-04,0.472,
2006-07,0.460,
2006-10,0.419,
2007-01,0.455,
2007-04,0.467,
2007-07,0.479,
2007-10,0.488,
2008-01,0.534,
2008-04,0.537,
2008-07,0.446,
2008-10,0.451,
2009-01,0.434,
2009-04,0.393,
2009-07,0.368,
2009-10,0.334,
2010-01,0.256,
2010-04,0.248,
2010-07,0.232,
2010-10,0.213,
2011-01,0.213,
2011-04,0.270,
2011-07,0.271,
2011-10,0.266,
2012-01,0.266,
2012-04,0.231,
2012-07,0.195,
2012-10,0.167,
2013-01,0.159,
2013-04,0.143,
2013-07,0.141,
2013-10,0.137,
2014-01,0.130,
2014-04,0.124,
2014-07,0.118,
