"",BBFN1.M.DE.N.1.L.F1.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.F1.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:10,
1995-01,0.155,
1995-02,0.147,
1995-03,0.149,
1995-04,0.164,
1995-05,0.142,
1995-06,0.133,
1995-07,0.135,
1995-08,0.200,
1995-09,0.199,
1995-10,0.217,
1995-11,0.223,
1995-12,0.238,
1996-01,0.155,
1996-02,0.153,
1996-03,0.160,
1996-04,0.184,
1996-05,0.192,
1996-06,0.191,
1996-07,0.218,
1996-08,0.219,
1996-09,0.285,
1996-10,0.280,
1996-11,0.278,
1996-12,0.277,
1997-01,0.278,
1997-02,0.482,
1997-03,0.476,
1997-04,0.496,
1997-05,0.468,
1997-06,0.467,
1997-07,0.465,
1997-08,0.477,
1997-09,0.447,
1997-10,0.529,
1997-11,0.543,
1997-12,0.350,
1998-01,0.358,
1998-02,0.375,
1998-03,0.378,
1998-04,0.380,
1998-05,0.349,
1998-06,0.337,
1998-07,0.355,
1998-08,0.361,
1998-09,0.369,
1998-10,0.360,
1998-11,0.381,
1998-12,0.386,
1999-01,0.385,
1999-02,0.404,
1999-03,0.436,
1999-04,0.463,
1999-05,0.438,
1999-06,0.453,
1999-07,0.465,
1999-08,0.486,
1999-09,0.493,
1999-10,0.521,
1999-11,0.486,
1999-12,0.472,
2000-01,0.521,
2000-02,0.606,
2000-03,0.601,
2000-04,0.582,
2000-05,0.666,
2000-06,0.640,
2000-07,0.606,
2000-08,0.852,
2000-09,0.704,
2000-10,0.881,
2000-11,0.876,
2000-12,0.771,
2001-01,0.703,
2001-02,1.282,
2001-03,1.256,
2001-04,1.135,
2001-05,1.129,
2001-06,1.040,
2001-07,1.056,
2001-08,0.945,
2001-09,0.962,
2001-10,1.003,
2001-11,0.986,
2001-12,1.010,
2002-01,1.031,
2002-02,1.038,
2002-03,1.018,
2002-04,1.068,
2002-05,1.053,
2002-06,0.728,
2002-07,0.726,
2002-08,0.736,
2002-09,0.714,
2002-10,0.713,
2002-11,0.742,
2002-12,0.722,
2003-01,0.618,
2003-02,0.553,
2003-03,0.595,
2003-04,0.544,
2003-05,0.536,
2003-06,0.509,
2003-07,0.520,
2003-08,0.446,
2003-09,0.537,
2003-10,0.569,
2003-11,0.596,
2003-12,0.598,
2004-01,0.505,
2004-02,0.465,
2004-03,0.465,
2004-04,0.469,
2004-05,0.496,
2004-06,0.483,
2004-07,0.468,
2004-08,0.465,
2004-09,0.466,
2004-10,0.479,
2004-11,0.510,
2004-12,0.505,
2005-01,0.486,
2005-02,0.503,
2005-03,0.499,
2005-04,0.349,
2005-05,0.457,
2005-06,0.411,
2005-07,0.487,
2005-08,0.469,
2005-09,0.672,
2005-10,0.668,
2005-11,0.664,
2005-12,0.649,
2006-01,0.641,
2006-02,0.642,
2006-03,0.620,
2006-04,0.608,
2006-05,0.488,
2006-06,0.462,
2006-07,0.508,
2006-08,0.501,
2006-09,0.490,
2006-10,0.489,
2006-11,0.431,
2006-12,0.459,
2007-01,0.455,
2007-02,0.428,
2007-03,0.433,
2007-04,0.364,
2007-05,0.409,
2007-06,0.416,
2007-07,0.447,
2007-08,0.469,
2007-09,0.519,
2007-10,0.517,
2007-11,0.593,
2007-12,0.548,
2008-01,0.566,
2008-02,0.594,
2008-03,0.587,
2008-04,0.550,
2008-05,0.653,
2008-06,0.694,
2008-07,0.591,
2008-08,0.600,
2008-09,0.550,
2008-10,0.554,
2008-11,0.701,
2008-12,0.861,
2009-01,0.831,
2009-02,0.759,
2009-03,0.733,
2009-04,0.700,
2009-05,0.687,
2009-06,0.631,
2009-07,0.634,
2009-08,0.676,
2009-09,0.698,
2009-10,0.702,
2009-11,0.712,
2009-12,0.612,
2010-01,0.605,
2010-02,0.579,
2010-03,0.612,
2010-04,0.620,
2010-05,0.604,
2010-06,0.569,
2010-07,0.542,
2010-08,0.547,
2010-09,0.585,
2010-10,0.590,
2010-11,0.570,
2010-12,0.524,
2011-01,0.489,
2011-02,0.519,
2011-03,0.525,
2011-04,0.497,
2011-05,0.496,
2011-06,0.477,
2011-07,0.377,
2011-08,0.412,
2011-09,0.409,
2011-10,0.469,
2011-11,0.374,
2011-12,0.667,
2012-01,0.380,
2012-02,0.340,
2012-03,0.445,
2012-04,0.468,
2012-05,0.500,
2012-06,0.541,
2012-07,0.557,
2012-08,0.402,
2012-09,0.425,
2012-10,0.451,
2012-11,0.468,
2012-12,0.476,
2013-01,0.505,
2013-02,0.514,
2013-03,0.564,
2013-04,0.414,
2013-05,0.449,
2013-06,0.443,
2013-07,0.405,
2013-08,0.363,
2013-09,0.315,
2013-10,0.309,
2013-11,0.279,
2013-12,0.296,
2014-01,0.274,
2014-02,0.261,
2014-03,0.275,
2014-04,0.291,
2014-05,0.318,
2014-06,0.325,
2014-07,0.299,
2014-08,0.320,
2014-09,0.285,
2014-10,0.263,
2014-11,0.487,
2014-12,0.338,
