"",BBK01.OEXB19K,BBK01.OEXB19K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:33,
2002-01,0.909,
2002-04,0.876,
2002-07,0.901,
2002-10,1.191,
2003-01,1.167,
2003-04,1.685,
2003-07,2.361,
2003-10,1.853,
2004-01,2.499,
2004-04,1.883,
2004-07,1.929,
2004-10,2.617,
2005-01,2.144,
2005-04,2.060,
2005-07,2.240,
2005-10,2.279,
2006-01,2.273,
2006-04,2.345,
2006-07,2.407,
2006-10,2.463,
2007-01,2.471,
2007-04,2.563,
2007-07,2.633,
2007-10,2.551,
2008-01,2.584,
2008-04,2.613,
2008-07,2.656,
2008-10,3.009,
2009-01,3.051,
2009-04,3.099,
2009-07,3.161,
2009-10,3.160,
2010-01,3.104,
2010-04,1.722,
2010-07,1.772,
2010-10,1.829,
2011-01,1.793,
2011-04,1.788,
2011-07,1.793,
2011-10,1.822,
2012-01,1.791,
2012-04,1.787,
2012-07,1.920,
2012-10,1.906,
2013-01,1.934,
2013-04,1.985,
2013-07,2.026,
2013-10,2.030,
2014-01,2.037,
2014-04,1.880,
2014-07,1.888,
