"",BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:04,
1991-01,247.779,
1991-04,12.573,
1991-07,31.883,
1991-10,-4.756,
1992-01,70.804,
1992-04,46.187,
1992-07,132.738,
1992-10,59.482,
1993-01,-1.131,
1993-04,0.625,
1993-07,3.909,
1993-10,-38.331,
1994-01,29.917,
1994-04,49.260,
1994-07,45.381,
1994-10,12.886,
1995-01,-6.385,
1995-04,22.923,
1995-07,15.216,
1995-10,-4.222,
1996-01,-46.522,
1996-04,-89.512,
1996-07,-27.472,
1996-10,-48.461,
1997-01,-19.768,
1997-04,-12.974,
1997-07,-0.457,
1997-10,63.137,
1998-01,14.660,
1998-04,59.948,
1998-07,27.925,
1998-10,47.383,
1999-01,85.394,
1999-04,91.494,
1999-07,86.700,
1999-10,65.434,
2000-01,70.689,
2000-04,3.371,
2000-07,103.912,
2000-10,41.049,
2001-01,98.483,
2001-04,6.598,
2001-07,132.591,
2001-10,196.963,
2002-01,-49.123,
2002-04,-18.876,
2002-07,57.407,
2002-10,-67.475,
2003-01,125.393,
2003-04,-193.474,
2003-07,30.420,
2003-10,-109.250,
2004-01,-58.600,
2004-04,-67.224,
2004-07,43.160,
2004-10,-10.447,
2005-01,-124.159,
2005-04,-6.589,
2005-07,-40.248,
2005-10,-99.326,
2006-01,-110.162,
2006-04,23.944,
2006-07,67.105,
2006-10,-104.781,
2007-01,-14.810,
2007-04,-7.606,
2007-07,-59.279,
2007-10,27.641,
2008-01,83.260,
2008-04,156.587,
2008-07,114.281,
2008-10,274.099,
2009-01,-20.756,
2009-04,104.429,
2009-07,79.000,
2009-10,50.219,
2010-01,340.387,
2010-04,181.094,
2010-07,-30.407,
2010-10,-706.200,
2011-01,16.313,
2011-04,-9.607,
2011-07,-146.935,
2011-10,-46.468,
2012-01,-21.168,
2012-04,-210.198,
2012-07,63.940,
2012-10,-64.829,
2013-01,-2.528,
2013-04,-156.833,
2013-07,-49.532,
2013-10,-28.639,
2014-01,-29.061,Provisional value
2014-04,-5.258,Provisional value
2014-07,104.852,Provisional value
2014-10,62.576,Provisional value
